BYSID,BYTID,BYAID,BYHID,GENDER,BYS02003,BYS02004,BYS02012,BYS03001,BYS04007,BYS04008,BYS04009,BYS04010,BYS05001,BYS05003,BYS05006,BYS06001,BYS06004,BYS07001,BYS07002,BYS07003,BYS07006,BYS07014,BYS07022,BYS07025,BYS07026,BYS07027,BYS07029,BYS08001,BYS08002,BYS08003,BYS08004,BYS08005,BYS08007,BYS09001,BYS09002,BYS09003,BYS09004,BYS10001,BYS10002,BYS10003,BYS10005,BYS11001,BYS11002,BYS11003,BYS11004,BYS11005,BYS11006,BYS12001,BYS12004,BYS12007,BYS12010,BYS12013,BYS12016,BYS12019,BYS12022,BYS13001,BYS14001,BYS14013,BYS14025,BYS15001,BYS16001,BYS20001,BYS20007,BYS20009,BYS20011,BYS20013,BYS20015,BYS20017,BYS20018,BYS20019,BYS20020,BYS20021,BYS21001,BYS22001,BYS22002,BYS22003,BYS22006,BYS22010,BYS22012,BYS22013,BYS22014,BYS22015,BYS22017,BYS23002,BYS23003,BYS23004,BYS24001,BYS24002,BYS24005,BYS25001,BYS25002,BYS25003,BYS26001,BYS26002,BYS26003,BYS26004,BYS26005,BYS26006,BYS26007,BYS26009,BYS27001,BYS27003,BYS27006,BYS27010,BYS27011,BYS27012,BYS27020,BYS29001,BYS29002,BYS29003,BYS29004,BYS29005,BYS29006,BYS29007,BYS29008,BYS29009,BYS29010,BYS29011,BYS29012,BYS29013,BYS29014,BYS29015,BYS29016,BYS29017,BYS29018,BYS29019,BYS29020,BYS29021,BYS29022,BYSCLASS,J007C
5016,3251,325,50161,1,3,2,3,1,4,3,6,2,2,2,2,2,2,3,1,1,1,1,1,4,3,3,2,3,1,2,5,4,2,1,1,4,3,2,5,6,4,4,4,4,3,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,2,1,1,1,1,1,7,2,2,9,3,4,1,3,4,4,4,3,1,2,3,1,3,2,3,5,1,2,2,2,1,2,1,2,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
5018,3351,335,50181,1,2,2,2,2,4,1,3,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,2,3,2,6,1,1,2,1,2,4,2,5,2,3,1,3,3,4,3,4,2,2,2,2,2,2,2,2,4,2,2,1,2,3,2,1,2,1,2,2,1,1,1,1,11,2,2,5,4,3,2,2,2,2,2,2,1,6,2,1,7,2,3,6,1,3,3,2,2,1,2,2,2,2,2,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
5020,3633,363,50201,2,3,2,4,1,5,1,2,2,1,2,1,2,2,3,2,1,1,6,1,4,1,1,1,4,5,1,6,1,1,3,1,4,4,4,1,6,2,4,4,2,1,3,2,2,1,1,1,2,2,2,2,6,2,2,2,2,3,2,1,2,1,2,2,1,2,1,1,8,2,8,2,2,2,1,1,2,3,2,3,3,1,3,2,7,1,3,6,2,3,3,2,2,2,2,2,2,2,1,2,10,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
5022,3761,376,50221,1,3,1,3,1,4,4,1,2,1,2,2,2,2,4,1,1,1,1,1,4,3,1,4,2,1,1,6,1,6,1,1,4,2,2,4,2,2,4,3,3,3,2,2,1,1,1,2,1,2,2,2,5,2,2,2,1,3,2,2,1,1,2,1,1,1,1,2,3,2,1,2,3,4,1,3,4,3,2,3,1,3,2,1,1,2,3,5,1,3,3,2,2,2,2,2,2,2,2,2,10,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
5025,3394,339,50251,1,2,2,2,1,3,6,1,2,2,2,2,2,2,4,1,1,1,1,2,3,2,2,2,4,1,2,4,1,2,3,1,2,3,1,5,6,2,3,3,3,3,3,4,2,1,2,2,2,2,2,2,4,2,2,1,1,3,1,1,2,1,2,1,1,1,1,1,12,2,1,2,3,4,1,3,4,3,4,3,1,2,2,1,7,1,4,6,1,2,2,2,1,1,1,1,2,2,1,2,7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
5026,3423,342,50261,1,2,3,1,2,4,4,3,2,2,2,2,2,2,4,1,1,1,1,1,4,3,1,1,2,1,2,5,1,2,1,1,4,3,3,2,6,2,3,3,4,3,2,2,2,2,2,2,2,2,2,2,6,2,2,1,2,3,2,2,2,1,2,1,1,1,1,2,3,2,2,3,3,3,2,3,4,3,3,4,1,2,2,1,7,2,4,5,3,2,2,2,1,1,1,1,2,2,2,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
5028,3774,377,50281,2,2,4,1,2,3,2,1,2,1,2,2,2,2,5,1,1,1,1,1,4,1,1,5,3,1,2,6,2,5,3,1,3,4,2,4,5,4,3,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,1,1,4,2,2,2,1,2,1,1,1,1,1,6,1,6,7,3,4,1,2,3,2,4,4,1,5,2,2,1,1,4,5,1,3,3,2,1,1,1,3,2,2,1,2,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
5031,3381,338,50311,2,1,4,2,1,4,1,5,2,2,2,2,2,2,4,1,1,1,1,1,3,1,1,1,2,1,1,6,1,1,3,1,2,3,2,2,2,4,2,2,4,3,2,3,2,1,1,2,2,2,2,2,7,2,2,2,1,4,1,2,2,1,2,2,1,1,1,1,12,2,8,1,3,2,1,3,3,3,3,3,1,2,1,2,7,2,4,7,1,2,2,2,1,1,2,2,2,2,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
5032,3813,381,50321,2,3,2,4,1,4,1,5,2,1,2,1,2,2,4,1,1,1,1,1,4,2,2,4,4,1,3,4,13,12,1,1,2,4,1,4,6,1,5,4,3,2,4,3,2,2,2,2,2,2,2,2,6,2,2,2,1,3,1,1,1,1,2,1,1,1,1,2,13,2,8,7,2,4,1,4,4,4,2,3,1,2,5,2,1,1,3,6,1,3,3,1,1,1,1,2,2,2,2,2,1,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
5033,3681,368,50331,1,3,2,4,1,5,1,4,2,2,1,1,2,2,4,2,1,1,6,1,3,2,1,2,2,5,2,4,4,4,2,1,2,3,1,3,2,2,3,3,1,1,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,1,1,2,2,1,1,1,1,1,13,1,2,3,2,3,1,3,4,4,3,3,8,2,2,1,7,2,5,4,3,3,3,2,2,1,1,1,2,2,1,2,20,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
5034,3411,341,50341,1,1,2,1,1,3,3,4,2,2,2,2,2,2,4,1,1,1,1,1,4,3,1,4,2,1,3,4,13,6,2,1,4,4,2,2,1,2,5,3,3,3,4,4,2,1,1,2,2,2,2,2,5,2,2,2,1,3,2,2,2,1,2,2,1,1,1,1,12,2,1,8,3,4,1,4,4,4,3,4,3,6,4,1,1,2,4,6,1,2,2,2,2,1,1,1,2,2,2,2,20,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
5035,3414,341,50351,1,3,2,2,1,4,4,1,2,1,2,2,2,2,4,1,1,1,1,1,3,2,2,2,2,1,2,4,1,4,2,1,4,2,2,3,2,2,3,2,4,3,4,3,1,1,1,1,2,2,2,2,5,2,2,1,2,3,2,1,1,1,2,1,1,1,1,1,3,2,1,3,3,2,1,3,3,3,4,4,1,2,1,1,7,2,4,5,1,3,3,2,1,2,2,2,2,2,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
5036,3693,369,50361,1,2,2,2,1,5,3,4,2,1,2,1,2,2,3,1,1,1,1,1,3,1,2,5,2,1,3,6,4,12,1,3,3,2,3,2,6,3,4,3,3,3,4,2,2,2,2,2,2,2,2,2,4,2,2,2,1,3,1,1,1,1,2,1,1,1,1,1,7,1,1,3,2,3,1,3,4,4,4,4,1,2,2,1,7,2,5,6,1,3,4,3,2,3,1,1,2,2,1,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
5037,3931,393,50371,1,3,2,2,1,3,1,3,2,2,2,2,2,2,3,1,1,1,1,2,3,1,1,2,4,2,2,6,2,1,1,1,1,4,2,2,3,3,4,4,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,4,2,2,2,2,2,1,1,2,1,1,12,2,1,8,3,3,1,2,2,3,3,3,3,9,4,1,7,2,4,6,1,3,3,2,2,2,1,2,2,2,2,2,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
5041,3133,313,50411,1,1,3,2,1,4,4,1,2,2,2,2,2,2,5,3,1,6,1,1,4,1,1,1,2,3,6,6,2,2,5,1,4,5,1,6,1,6,1,3,5,3,1,3,2,1,1,2,2,2,2,2,8,2,2,1,1,3,1,2,2,1,2,2,1,1,1,1,12,2,2,1,4,4,1,5,5,5,5,3,1,2,4,1,7,2,5,5,3,4,4,3,4,3,1,2,2,2,1,2,30,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
5042,3272,327,50421,2,4,2,5,1,5,3,1,2,1,1,2,2,2,4,1,2,1,1,1,3,1,1,1,4,6,1,2,1,1,5,1,3,5,1,6,1,2,4,4,4,4,5,4,2,2,1,2,2,2,2,2,8,1,2,2,1,5,2,2,2,1,2,1,1,2,1,1,1,2,3,1,5,4,1,4,2,3,3,4,2,9,4,2,7,2,3,6,1,2,2,1,1,1,1,1,2,2,2,2,0,1,2,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3
5043,3582,358,50431,2,3,1,2,1,3,3,6,2,2,2,1,2,2,4,1,1,1,1,1,4,4,2,3,2,3,3,5,1,2,2,1,4,4,4,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,1,3,2,1,1,1,2,2,1,1,1,2,8,2,8,1,2,3,1,2,2,2,2,2,3,7,4,2,2,2,4,5,1,3,3,2,2,1,2,2,2,2,2,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
5045,3101,310,50451,2,4,1,2,1,5,3,1,2,2,1,2,2,2,4,1,1,1,1,1,4,2,1,4,2,3,3,6,3,2,1,1,4,2,1,6,6,3,4,3,3,3,4,4,2,1,1,2,2,2,2,2,2,2,2,2,1,3,2,2,1,1,2,2,1,1,1,2,3,2,2,1,2,4,1,3,4,4,4,4,1,2,2,2,7,2,4,5,1,3,3,2,1,1,1,1,2,2,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
