BYHID,BYSID,BYSCLASS,F1H01001,F1H01002,F1H01003,F1H01004,F1H01005,F1H01006,F1H01007,F1H01008,F1H02001,F1H02002,F1H02003,F1H02004,F1H02005C,F1H02006,F1H03001,F1H03002,F1H03003,F1H03004,F1H03005C,F1H03006,F1H04001,F1H04002,F1H04003,F1H04004,F1H04005,F1H05001,F1H05002,F1H05003,F1H06001,F1H06002,F1H06003
30361,3036,2,2002,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,1,4,150,1031,2,250,-2,-2,2,-5,100,-4,0,1,3,2
30371,3037,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,1,300,1551,2,2002,1,1,200,1032,1,500,300,20000,2,-5,150,40,20,1,1,2
30381,3038,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,150,0121,2,2002,1,1,80,0220,2,230,20,-3,2,-5,210,-4,-4,1,1,4
30391,3039,2,2001,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,1,1,120,1310,2,550,20,8000,2,-5,150,-4,-4,1,2,2
30401,3040,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,170,0931,1,2002,2,-5,-5,-5,2,170,0,-3,-3,-5,170,35,35,1,1,4
30411,3041,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,2000,0934,2,2002,1,4,50,1212,2,250,0,-2,1,10000,80,60,0,1,1,2
30421,3042,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,-2,1524,2,2002,2,-5,-5,-5,2,-2,20,-2,2,-5,150,0,0,1,1,2
30431,3043,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,120,2269,2,2002,1,2,60,1331,2,180,0,0,1,1000,180,10,0,1,4,3
30441,3044,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,0232,2,2002,1,2,50,2271,2,150,0,0,2,-5,150,0,0,1,3,2
30461,3046,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,1,90,2271,2,90,0,-2,-3,-5,100,12,6,2,2,2
30471,3047,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,150,0930,2,2002,2,-5,-5,-5,2,150,15,6500,2,-5,135,-4,-4,1,1,3
30481,3048,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,500,0331,1,2002,1,3,200,0156,1,700,350,11000,1,2300,300,20,20,1,1,3
30491,3049,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,1,250,0141,1,2002,1,1,80,1970,2,330,0,-2,1,4000,300,0,0,1,1,3
30501,3050,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,180,2129,2,2002,1,5,-5,2129,2,180,10,3000,2,-5,170,0,0,1,2,4
30511,3051,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,1,150,1921,2,-4,-5,-5,-5,-5,-5,150,0,1000,2,-5,150,0,0,1,3,1
30531,3053,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,1490,2,2002,1,2,80,1841,2,180,0,10000,2,-5,160,30,30,1,1,4
30551,3055,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,70,2321,2,2002,1,1,60,1311,2,130,0,1000,1,6000,130,0,0,1,1,4
30561,3056,2,2002,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,1,100,2120,1,140,40,-3,2,-5,100,0,0,1,2,2
30571,3057,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,3,-3,0142,2,2002,2,-5,-5,-5,2,-3,-3,6000,1,10000,-3,0,0,1,3,3
30591,3059,2,4001,2,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,2,40,1330,2,40,0,0,1,300,40,-4,-4,2,4,3
30601,3060,2,2002,2,-5,-5,-5,-5,-5,-5,2001,2,-5,-5,-5,2,2002,1,2,100,1041,1,100,20,60000,2,-5,-3,100,100,1,1,1
30611,3061,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,150,2321,1,2002,1,5,-5,2321,2,150,0,-3,1,-3,100,0,0,1,1,4
30621,3062,2,2002,1,3,3,1,-5,-5,-5,-4,-5,-5,-5,-5,-5,2002,1,3,400,0156,2,400,0,-2,2,-5,150,-4,-4,1,1,2
30631,3063,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,150,1724,2,2002,2,-5,-5,-5,2,150,20,10000,2,-5,60,0,0,1,1,3
30641,3064,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,300,0156,1,2002,1,5,-5,0156,1,300,0,4000,2,-5,200,30,0,1,2,1
30651,3065,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,100,0532,2,2002,2,-5,-5,-5,2,100,30,10000,1,-2,100,0,0,1,1,2
30661,3066,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,1,200,1920,1,2002,2,-5,-5,-5,1,200,100,6000,1,3000,100,50,0,1,1,2
30671,3067,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,0959,2,-4,-5,-5,-5,-5,-5,100,0,1500,2,-5,100,0,0,2,3,2
30681,3068,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,4,200,0930,1,2002,2,-5,-5,-5,2,200,40,4000,2,-5,160,0,0,1,2,3
30691,3069,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,100,2320,1,2002,1,5,-5,2320,2,100,10,-2,2,-5,90,0,0,1,-2,4
30701,3070,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,100,0156,1,2002,1,5,-5,1045,2,100,20,10000,2,-5,80,10,0,1,2,3
30711,3071,2,2001,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,1490,2,-4,-5,-5,-5,-5,-5,100,20,3000,1,2000,50,0,0,1,2,3
30721,3072,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,2,100,1490,2,2002,2,-5,-5,-5,2,100,0,100,2,-5,70,10,0,1,3,1
30731,3073,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,3,-2,0141,2,2002,1,5,-5,0141,2,-2,10,-6,2,-5,180,-4,0,1,4,2
30741,3074,2,2002,2,-5,-5,-5,-5,-5,-5,2001,1,4,100,0930,1,2002,1,1,100,1032,1,290,0,8500,1,4800,250,15,15,2,1,3
