BYS02001,BYS02002,BYS02005,BYS02006,BYS02007,BYS02008,BYS02009,BYS02010,BYS02011,BYS03002,BYS03003,BYS03004,BYS04001,BYS04002,BYS04003,BYS04004,BYS04005,BYS04006,BYS07015,BYS07016,BYS07017,BYS07018,BYS07019,BYS07020,BYS07021,BYS07028,BYS08008,BYS10004,BYS11007,BYS11008,BYS11009,BYS11010,BYS11011,BYS11012,BYS11013,BYS11014,BYS11015,BYS11016,BYS12025,BYS20022,BYS22004,BYS22005,BYS22007,BYS22008,BYS22009,BYS22016,BYS23001,BYS24003,BYS24004,BYS26008,BYS32001,BYS32002,BYS32003,BYS32004,BYS32005,BYS32006,BYS32007,BYS32008,BYS32009,BYS32010,BYSID
4,2,2,5,5,5,5,3,5,1,1,1,2,4,3,3,3,5,5,3,3,3,4,3,3,5,13,6,4,2,1,1,1,1,1,1,5,3,4,7,3,3,3,4,4,3,1,173,61,3,1,1,2,3,4,4,5,3,4,4,5036
3,3,2,3,3,3,2,3,3,1,1,1,3,2,2,3,3,4,4,4,4,4,3,3,4,2,2,2,3,3,5,3,2,3,2,3,2,3,3,2,2,2,3,4,3,3,1,174,70,2,1,1,2,4,3,4,4,3,4,4,5037
1,4,2,1,4,4,4,4,4,1,1,1,5,5,3,5,3,5,4,5,2,5,5,1,4,2,13,1,5,4,5,5,5,3,1,1,5,1,2,11,4,3,2,4,2,3,1,168,81,4,2,1,2,2,3,3,3,3,3,4,5041
4,4,4,1,5,5,5,5,5,1,1,1,5,5,4,5,5,5,3,3,1,5,2,1,4,1,2,4,4,4,4,4,3,3,1,1,2,3,3,1,3,4,3,4,4,3,4,157,53,2,1,1,2,5,3,3,5,4,4,4,5042
4,4,4,3,4,5,2,4,4,2,1,2,2,2,2,3,2,3,4,4,4,4,2,4,4,3,13,2,2,1,3,3,5,4,3,2,4,4,4,7,2,2,2,4,3,2,1,156,48,2,1,1,2,2,3,2,3,3,3,5,5043
4,3,4,3,4,3,2,5,4,1,1,1,3,3,4,4,3,5,4,5,5,4,4,3,4,2,3,2,1,1,3,2,4,3,3,4,4,4,4,2,3,4,3,5,4,2,1,167,57,2,1,1,2,3,2,2,3,3,3,4,5045
3,4,3,5,4,4,4,4,5,2,1,2,3,5,5,5,3,5,4,3,4,3,4,2,5,2,12,1,2,2,2,2,2,2,2,2,5,5,3,2,5,5,3,5,5,5,4,157,46,1,1,1,2,3,5,4,4,2,4,5,5046
2,3,2,1,2,1,3,3,1,2,2,2,2,2,3,4,3,4,5,3,5,4,1,1,5,2,12,1,3,1,4,3,2,2,3,3,4,4,5,7,2,2,3,3,3,3,1,182,95,2,1,1,2,3,4,5,5,3,5,5,5047
3,2,1,3,4,4,1,1,2,2,1,2,3,3,3,2,3,4,4,3,4,4,3,2,4,3,2,2,2,2,5,4,4,3,4,2,3,3,4,11,3,3,3,4,4,2,4,162,47,1,1,1,2,5,3,4,4,1,3,5,5052
4,3,4,4,5,4,2,4,5,1,1,2,5,3,4,5,3,4,5,4,4,4,5,1,3,1,14,2,4,2,2,1,1,2,1,2,1,2,4,1,2,2,3,4,4,2,1,156,49,2,1,1,2,2,3,2,3,3,3,3,5054
4,3,3,2,5,5,5,5,4,1,1,1,3,3,4,5,2,5,5,5,4,5,4,1,5,3,4,3,3,3,4,1,5,2,4,3,5,4,4,3,3,4,2,5,3,4,1,180,80,2,2,1,2,3,2,2,3,3,3,3,5055
3,5,3,3,3,4,3,4,3,1,1,1,3,4,3,5,2,3,4,4,3,4,3,4,5,1,2,2,5,1,1,1,5,3,5,4,1,1,3,2,4,3,2,3,4,3,3,184,94,1,2,1,2,4,3,3,4,1,4,4,5056
3,4,2,3,3,2,1,2,1,1,1,1,4,4,3,5,3,4,5,5,5,5,4,2,4,4,2,2,2,5,4,4,4,3,4,4,3,3,4,2,3,4,4,4,4,4,1,161,68,2,1,1,2,5,2,3,5,3,4,4,5058
3,3,3,3,3,3,4,4,4,1,1,1,3,4,4,5,1,3,4,4,4,4,4,2,3,1,2,3,4,3,4,3,4,4,5,4,3,4,4,11,4,3,1,3,4,3,3,158,48,2,1,1,2,4,5,4,5,1,4,5,5059
4,3,3,4,3,4,4,4,3,1,1,1,3,4,3,3,4,4,4,4,4,4,4,3,5,3,8,2,3,2,4,3,2,2,2,2,3,2,3,11,3,2,3,3,4,3,1,166,68,2,1,1,2,3,3,3,4,3,4,4,5060
2,3,3,3,4,4,3,4,2,2,1,2,3,2,2,3,3,3,3,4,4,4,3,4,4,3,2,2,2,2,4,3,3,3,2,1,3,3,4,2,2,2,3,3,4,3,3,163,54,2,1,1,2,4,4,4,4,4,5,5,5064
4,4,2,2,3,4,2,4,5,2,2,2,4,3,3,5,4,4,4,3,3,5,2,1,3,2,8,3,5,3,1,1,1,1,4,3,4,2,4,1,1,2,3,4,4,3,1,170,62,2,1,1,2,2,3,3,3,3,3,4,5065
3,3,3,2,2,2,3,3,1,1,1,1,3,4,4,2,3,4,4,5,5,4,5,2,5,4,6,3,2,2,3,3,4,3,2,2,3,3,4,7,3,3,3,4,4,3,3,163,52,2,1,1,2,3,3,3,3,4,4,4,5066
3,4,5,2,3,4,4,4,2,1,1,1,4,4,4,3,3,4,5,4,5,5,5,1,5,3,2,3,4,1,5,4,5,4,5,4,5,4,4,11,4,4,3,5,4,3,3,181,88,1,1,1,2,4,3,4,5,4,4,5,5068
2,2,2,4,2,2,3,3,3,1,1,1,5,2,3,5,5,5,4,4,3,3,4,3,4,3,7,3,3,2,4,4,3,3,3,4,3,3,4,1,3,3,3,3,3,3,3,173,87,2,2,2,2,4,4,3,4,3,3,2,5069
3,4,3,5,3,3,2,4,4,1,1,2,2,2,2,4,2,3,-5,-5,-5,-5,-5,-5,-5,3,12,3,1,1,4,2,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,157,53,1,2,2,2,2,3,3,3,3,3,3,5070
1,1,1,5,1,1,1,1,1,2,1,2,3,3,3,3,3,3,3,3,5,3,3,2,3,1,5,3,1,1,3,3,2,2,2,2,3,3,5,11,3,3,3,3,1,3,4,171,58,4,2,1,2,1,4,2,3,4,4,2,5071
3,4,3,3,4,4,4,4,3,2,2,2,5,4,3,4,4,3,4,3,4,5,4,2,4,1,1,1,3,3,4,3,3,3,2,2,2,2,4,11,3,4,3,4,3,3,1,160,60,2,1,1,2,2,3,2,3,3,4,4,5072
3,4,4,5,4,1,2,3,3,1,1,2,4,1,2,2,3,3,5,5,5,5,4,1,5,3,2,2,1,1,5,5,3,2,3,4,1,1,4,1,1,3,4,3,3,3,1,172,78,2,1,1,2,3,3,3,4,3,4,4,5073
4,4,3,3,3,3,2,3,3,1,1,1,3,4,4,5,3,5,4,3,4,5,5,1,5,4,13,2,2,2,2,4,4,3,2,3,3,3,4,11,4,4,3,5,3,3,3,168,58,2,1,1,2,4,4,4,4,3,4,3,5074
4,3,3,4,2,2,1,2,4,2,1,2,5,2,4,5,4,4,2,5,3,3,2,3,4,2,8,2,1,1,2,2,5,3,3,3,2,2,4,2,3,3,3,4,4,2,1,165,47,2,1,1,2,4,4,4,4,4,4,4,5075
4,4,2,2,3,3,3,1,3,2,1,1,3,2,2,5,2,5,5,5,5,4,4,2,5,3,1,1,2,3,4,4,2,3,1,1,4,4,4,2,4,4,3,4,3,3,4,161,56,1,1,1,2,4,4,4,4,4,4,4,5078
4,3,3,3,3,3,2,3,5,2,1,2,3,3,3,4,3,4,4,3,4,4,4,3,5,4,8,1,1,1,4,3,5,4,2,1,5,4,4,4,3,3,3,4,3,2,4,150,45,3,1,1,2,3,4,3,5,3,4,5,5079
3,3,3,3,3,4,4,2,3,2,1,2,3,3,3,3,3,4,4,3,3,3,4,3,3,3,13,2,2,2,3,2,2,2,3,2,3,3,4,5,2,4,1,4,3,3,1,172,63,2,2,2,2,1,3,3,3,2,3,3,5080
1,2,4,4,4,4,4,3,3,2,1,2,2,4,3,4,3,3,4,4,4,4,3,4,5,1,4,2,3,3,3,1,2,5,4,5,3,5,2,1,2,4,3,3,2,5,3,172,58,2,1,1,2,4,3,3,4,4,4,4,5081
4,4,3,3,2,2,1,1,2,1,1,1,3,4,2,4,3,4,3,4,4,4,5,1,5,4,8,2,2,3,5,4,5,4,2,3,3,3,4,2,4,4,4,4,4,4,1,168,58,2,1,1,2,5,5,4,5,5,5,5,5082
2,2,2,4,4,5,4,5,4,2,1,2,2,4,3,2,3,5,4,4,3,4,4,2,3,3,13,3,4,1,2,4,3,4,2,3,5,5,4,5,4,3,2,4,5,3,1,157,42,2,1,1,2,4,3,3,3,3,3,4,5083
3,4,3,4,3,1,2,2,2,1,2,2,4,3,3,4,3,3,3,5,4,4,3,3,4,3,2,3,1,1,4,3,4,3,5,4,1,2,3,1,2,2,3,3,3,3,3,179,93,4,1,1,2,2,2,3,4,3,4,5,5088
4,4,4,3,4,4,4,2,4,1,1,1,4,4,4,4,3,4,4,3,4,4,4,3,4,2,2,1,1,1,4,2,4,2,3,1,2,2,3,5,2,3,3,4,4,2,1,155,55,2,1,1,2,3,2,5,4,4,4,5,5092
3,3,4,2,5,3,3,4,5,2,2,2,3,5,4,3,2,5,4,4,3,4,4,4,5,5,4,3,3,3,4,4,3,3,2,1,5,5,4,5,3,2,1,4,4,2,1,191,58,2,2,1,2,2,4,2,3,2,5,4,5094
4,3,3,5,4,3,2,2,3,1,1,2,3,2,2,4,3,4,4,4,4,4,4,2,4,3,13,2,1,1,2,2,3,3,2,2,4,4,5,11,2,2,3,4,4,2,1,173,60,2,1,1,2,3,3,4,4,3,5,5,5097
3,3,2,4,5,2,4,4,4,2,1,1,2,2,3,4,3,3,5,5,4,3,3,3,3,1,4,2,5,2,3,3,5,3,1,1,5,3,1,11,2,3,3,3,3,5,4,180,90,2,1,1,2,3,2,3,4,3,4,5,5098
3,3,3,3,2,4,4,3,3,2,1,2,2,1,3,2,2,4,2,4,3,3,4,2,2,3,8,1,3,3,3,3,2,4,4,4,5,4,4,7,2,2,2,4,3,3,1,179,70,2,1,1,2,1,2,2,3,3,3,2,5101
3,4,4,4,3,2,3,4,4,1,1,2,4,3,3,4,3,5,5,4,5,5,5,2,4,1,8,2,4,3,4,4,5,4,5,3,4,2,4,2,2,2,2,3,4,3,4,169,50,2,1,1,2,3,3,3,4,3,4,4,5102
5,4,3,3,3,3,3,2,3,1,1,1,2,3,3,4,3,4,5,4,4,4,4,2,5,3,2,2,4,4,4,4,4,3,3,3,4,4,4,5,3,3,3,4,4,3,1,172,76,1,1,1,2,3,3,3,3,4,4,4,5105
3,2,2,4,3,3,3,4,3,2,1,2,3,2,2,3,2,4,5,5,3,5,4,3,4,3,10,4,4,3,2,2,4,4,3,2,2,2,4,11,3,3,3,4,3,3,3,166,60,2,2,1,2,4,3,3,4,3,4,4,5106
3,3,4,3,4,4,3,3,3,1,2,1,2,2,2,3,3,4,3,5,3,4,3,3,3,1,12,1,4,3,2,2,4,2,2,2,4,3,3,11,2,2,2,3,3,3,1,173,91,1,1,1,2,2,2,2,3,1,3,4,5108
3,5,1,2,2,3,1,3,1,2,1,2,4,3,1,3,2,3,4,5,4,5,3,3,4,3,13,4,5,1,5,1,5,1,5,1,4,1,5,1,1,1,1,2,5,5,1,170,70,1,1,1,2,3,3,3,3,3,3,4,5109
