BYS02001,BYS02002,BYS02005,BYS02006,BYS02007,BYS02008,BYS02009,BYS02010,BYS02011,BYS03002,BYS03003,BYS03004,BYS04001,BYS04002,BYS04003,BYS04004,BYS04005,BYS04006,BYS07015,BYS07016,BYS07017,BYS07018,BYS07019,BYS07020,BYS07021,BYS07028,BYS08008,BYS10004,BYS11007,BYS11008,BYS11009,BYS11010,BYS11011,BYS11012,BYS11013,BYS11014,BYS11015,BYS11016,BYS12025,BYS20022,BYS22004,BYS22005,BYS22007,BYS22008,BYS22009,BYS22016,BYS23001,BYS24003,BYS24004,BYS26008,BYS32001,BYS32002,BYS32003,BYS32004,BYS32005,BYS32006,BYS32007,BYS32008,BYS32009,BYS32010,BYSID
4,4,1,3,3,2,2,3,3,2,2,2,2,3,2,5,2,3,3,3,4,3,1,2,3,1,2,5,3,2,4,4,4,2,4,2,2,2,4,7,3,2,3,3,4,2,3,158,42,2,1,1,2,2,3,2,4,3,4,4,6682
2,1,1,3,4,4,4,5,5,1,2,1,3,3,5,5,2,5,3,3,4,3,4,2,4,1,13,1,1,1,1,1,3,3,1,1,5,5,4,8,4,4,3,4,4,4,1,178,65,1,1,1,2,2,3,4,4,4,4,3,6683
3,2,2,3,4,5,5,4,4,2,2,2,3,2,2,4,3,4,3,3,5,4,3,3,3,2,2,1,2,2,3,3,3,3,3,3,2,4,3,1,2,2,3,4,3,4,1,163,60,3,1,1,2,2,2,2,5,4,4,5,6686
3,3,3,2,3,2,2,2,3,2,1,2,2,2,2,4,3,4,4,4,4,4,4,2,4,3,1,1,2,1,3,1,3,1,3,1,1,1,2,5,2,2,3,4,4,3,1,161,55,2,1,1,2,3,3,3,4,4,4,5,6687
3,3,2,2,3,2,4,2,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,2,12,2,2,2,5,4,3,3,2,2,4,5,3,11,4,4,2,4,3,3,4,175,65,2,2,1,2,3,4,4,4,2,3,3,6688
3,3,2,4,2,3,4,3,3,1,2,2,2,2,3,3,3,4,2,5,4,4,4,4,3,3,2,2,3,2,2,3,2,4,4,3,2,2,4,2,2,2,2,3,2,2,1,170,64,2,1,1,2,3,3,3,3,3,4,3,6690
4,4,3,3,3,4,4,5,4,1,1,1,2,2,2,4,2,5,4,3,4,4,4,2,4,1,11,1,3,2,3,2,3,3,3,3,4,4,4,11,2,2,3,4,4,3,1,175,85,2,1,1,2,2,2,2,2,2,2,2,6691
4,5,3,5,4,3,3,3,4,1,1,1,3,4,3,5,2,5,4,3,5,3,4,1,5,2,5,2,3,3,3,3,4,3,4,3,5,4,3,3,4,3,3,5,5,3,1,173,61,2,2,1,2,3,3,3,4,3,4,5,6698
5,4,2,2,3,4,4,5,5,1,1,2,4,4,4,4,3,4,4,4,4,4,4,1,5,3,8,2,2,2,4,3,3,3,3,3,5,5,2,2,4,4,3,4,4,3,1,164,58,2,2,1,2,4,3,4,4,3,4,4,6699
3,2,4,3,4,4,4,3,2,1,1,1,3,4,4,4,3,4,5,4,4,5,5,3,5,3,5,2,2,2,4,3,5,4,5,3,4,3,4,3,3,4,3,5,4,3,3,161,54,2,1,1,2,3,4,3,4,3,4,4,6701
2,2,1,3,1,2,3,4,4,1,1,1,2,3,3,1,3,4,3,1,5,3,2,3,2,3,8,2,1,1,4,3,1,1,1,1,3,3,1,11,3,3,3,5,3,3,3,170,58,3,1,1,2,3,4,4,4,3,4,4,6703
3,4,3,3,3,4,4,3,4,1,1,1,3,3,3,4,3,4,4,3,4,3,3,3,4,1,2,1,3,1,4,3,1,1,5,4,4,4,2,5,3,2,3,4,4,2,3,173,67,2,1,1,2,4,3,3,4,3,4,5,6704
4,3,2,4,4,4,3,4,4,2,1,2,3,3,3,4,2,1,4,4,4,4,4,1,5,3,1,2,1,1,4,3,3,3,4,3,5,5,4,8,2,3,3,5,5,4,1,176,65,2,1,1,2,3,3,3,4,3,4,4,6705
3,2,3,4,4,3,3,4,4,2,1,1,2,3,3,3,2,4,3,4,3,4,2,3,3,3,2,2,4,2,4,2,3,3,3,2,4,3,2,7,3,3,2,4,4,2,4,169,64,2,1,1,2,3,3,3,3,2,4,4,6709
4,3,3,2,3,2,2,2,3,2,2,2,3,3,3,4,3,4,4,5,4,5,4,3,4,3,2,1,1,1,1,3,3,3,1,1,3,4,4,1,3,3,3,5,3,3,4,160,50,2,2,1,2,3,4,3,4,3,4,3,6713
4,3,4,3,2,3,4,1,2,2,1,2,3,4,3,2,3,4,5,5,5,5,5,1,5,4,2,4,4,2,5,4,4,2,4,3,4,2,4,2,2,2,2,4,4,3,1,157,50,1,1,1,2,4,3,4,4,3,4,5,6714
4,4,3,3,3,4,3,2,3,1,1,2,3,4,5,3,2,4,5,5,4,5,5,3,5,2,2,2,1,1,1,1,5,4,5,4,4,4,3,2,4,3,2,4,4,3,3,157,44,2,1,1,2,4,4,3,3,2,3,4,6717
5,4,3,2,4,4,5,5,4,1,1,1,3,4,4,4,3,5,4,5,4,4,3,2,5,3,6,2,2,2,5,4,4,3,3,3,4,3,4,1,4,4,3,5,4,4,1,172,75,2,1,1,2,4,4,4,5,4,4,4,6721
4,4,3,3,3,4,3,3,4,1,1,1,3,3,3,4,2,3,2,5,4,3,3,4,3,4,8,2,3,3,4,3,5,4,4,4,3,2,4,1,3,3,3,3,4,4,1,164,59,2,1,1,2,5,3,4,5,3,4,4,6723
4,3,3,4,2,4,3,5,4,2,1,1,5,4,4,5,3,2,5,4,3,5,5,2,4,3,2,2,5,4,5,4,5,5,2,4,3,3,4,11,2,3,2,4,5,4,1,158,53,2,1,1,2,3,3,3,3,2,3,3,6724
3,5,2,3,4,3,5,4,3,2,1,1,5,1,1,5,2,5,5,5,5,5,1,5,5,1,1,3,5,5,5,4,1,1,1,1,5,5,4,1,1,2,2,5,5,3,2,175,65,1,2,1,2,3,3,3,4,2,4,4,6726
5,3,3,3,2,3,3,3,3,1,1,1,4,3,5,4,2,5,4,4,4,5,5,1,4,1,2,1,1,2,2,3,3,2,3,3,5,5,1,2,5,5,2,4,5,4,1,164,53,3,1,1,1,3,3,3,3,3,3,2,6727
4,3,4,5,2,2,2,3,2,1,1,1,3,4,4,5,2,4,4,5,4,4,2,3,4,3,5,1,5,4,2,3,4,4,1,1,5,4,4,11,4,4,2,4,4,4,3,174,68,2,1,1,2,3,3,4,4,1,4,5,6729
4,4,4,3,5,5,2,3,4,1,1,2,4,4,3,5,5,4,4,3,5,3,3,2,5,1,2,1,5,4,3,3,3,2,2,2,5,4,4,2,4,3,2,4,2,3,3,154,51,1,1,1,2,2,4,3,4,2,4,4,6730
4,4,3,3,5,5,3,5,5,2,1,1,4,3,4,5,3,5,4,4,5,4,4,1,5,1,5,2,1,1,3,3,5,5,4,5,5,5,4,8,2,3,2,4,5,3,3,162,52,1,1,1,2,4,3,3,4,2,4,4,6731
4,1,2,5,4,3,3,3,3,1,1,1,4,4,3,5,3,5,5,5,3,5,4,3,4,2,3,4,5,5,5,3,5,3,5,5,5,4,4,7,5,4,3,5,5,3,1,173,58,1,2,1,2,4,4,4,4,4,4,4,6732
2,2,4,4,3,3,2,3,3,1,2,2,3,5,4,5,3,3,3,4,4,2,2,3,3,3,5,1,1,1,1,2,5,5,1,1,4,3,4,1,5,4,3,3,5,5,3,158,48,1,1,1,2,3,5,4,5,4,5,5,6738
3,3,3,2,3,4,4,2,3,2,1,2,3,4,4,5,3,4,5,5,5,4,5,3,5,4,5,4,3,3,5,4,3,3,3,3,3,3,4,11,4,4,3,4,3,4,2,165,51,2,1,1,2,4,4,4,4,3,4,4,6739
4,3,2,2,3,1,4,1,2,1,1,1,5,5,4,5,3,4,2,2,4,2,3,4,3,2,14,2,3,1,2,1,2,1,2,1,3,2,3,11,2,2,3,4,2,2,1,178,53,2,1,1,2,1,3,2,2,2,4,4,6740
5,3,4,4,2,4,1,3,3,1,1,2,5,5,4,5,3,5,5,5,5,5,5,1,5,3,1,1,5,3,1,1,1,1,3,1,5,3,3,3,1,1,3,5,5,2,1,177,78,1,1,1,2,3,2,3,3,3,5,5,6742
3,3,3,2,2,2,2,1,2,2,2,2,5,2,3,4,3,4,2,4,4,4,4,3,3,3,13,2,1,1,4,3,1,2,1,1,4,4,4,1,3,3,3,3,3,3,1,179,62,1,2,1,2,4,3,3,3,3,3,3,6747
4,3,4,3,3,3,3,4,3,1,1,1,5,4,3,4,3,4,3,4,3,3,3,2,3,3,12,1,3,3,5,4,4,4,3,3,4,4,4,2,3,3,2,4,5,3,1,160,51,2,1,1,2,4,3,3,4,3,4,4,6748
3,4,3,3,4,4,3,2,3,1,1,2,3,3,2,4,3,4,5,5,5,5,4,2,4,2,1,2,5,4,3,4,4,3,4,4,4,4,4,1,3,2,3,4,4,3,3,173,57,1,1,1,2,3,2,3,3,3,3,3,6749
4,4,2,3,2,3,1,2,2,1,1,1,5,5,5,5,3,5,5,5,4,3,2,1,4,4,5,2,1,2,4,4,4,3,3,2,5,5,5,11,4,3,4,4,4,4,3,176,65,2,1,1,2,5,3,4,5,4,4,4,6751
4,2,4,3,1,3,3,3,3,1,1,1,5,4,4,4,4,4,2,5,5,3,3,4,3,2,13,4,5,5,2,2,2,4,3,4,5,3,4,8,3,2,3,4,4,3,2,180,77,1,1,1,2,4,3,3,5,3,4,5,6753
3,3,3,4,2,2,2,3,2,2,1,2,4,3,4,4,3,4,4,4,4,3,3,2,4,2,5,2,1,1,4,4,1,1,1,1,3,3,3,11,3,4,3,4,4,4,4,181,75,2,1,1,2,5,4,5,5,4,4,4,6754
2,3,3,5,3,3,3,4,4,1,1,2,2,3,4,4,3,5,4,4,4,3,4,2,4,2,8,1,1,1,4,3,2,2,2,2,4,3,3,3,3,2,3,3,4,3,1,170,65,1,2,1,1,2,2,2,2,3,4,4,6755
3,4,2,3,3,1,1,2,3,1,2,2,3,4,4,5,4,4,5,4,4,4,3,5,5,3,13,2,1,1,5,4,2,1,2,2,4,4,4,1,2,2,4,3,5,3,1,172,60,2,1,1,2,4,3,4,4,3,4,5,6756
3,3,4,4,3,4,2,2,1,1,1,1,2,3,3,4,3,4,4,5,4,4,4,3,4,3,5,3,1,1,3,3,1,3,3,3,4,3,4,2,3,3,3,4,4,3,1,170,83,2,1,1,2,1,2,2,3,4,3,4,6757
2,3,3,3,3,3,4,3,3,1,1,1,3,4,3,4,3,4,4,3,3,3,4,3,4,2,2,1,3,3,3,3,4,3,4,2,4,4,3,1,3,3,3,4,4,2,1,189,80,2,2,1,2,2,4,4,3,3,4,3,6759
4,4,4,3,4,3,3,2,3,1,1,1,4,4,4,4,3,5,4,4,4,4,5,3,4,3,12,1,3,2,4,3,3,1,4,3,5,4,3,3,2,3,3,4,4,3,3,169,72,2,1,1,2,3,2,2,4,3,3,3,6762
5,4,4,3,3,3,4,3,4,1,1,1,3,4,3,4,3,5,4,4,3,3,4,2,4,1,4,1,3,3,3,3,3,3,3,3,5,5,3,11,4,2,3,5,5,4,2,174,75,2,2,1,2,3,3,3,3,3,3,3,6763
2,1,3,4,4,3,2,3,5,2,1,1,4,3,4,5,3,4,2,3,3,3,3,4,2,3,1,2,1,1,3,3,3,3,5,5,2,3,4,4,5,3,3,3,2,4,3,163,65,2,2,2,2,3,4,3,4,4,4,3,6764
4,5,1,2,3,3,4,3,3,1,1,1,3,2,3,5,2,4,4,4,4,5,4,3,3,1,2,1,3,3,2,2,3,3,4,4,4,4,4,5,2,2,2,3,5,5,4,167,61,2,1,1,2,3,3,3,3,3,3,3,6765
3,1,3,3,3,2,2,2,3,1,1,1,2,4,4,4,4,4,4,3,4,5,5,3,4,3,4,2,1,1,3,3,3,3,3,3,5,5,3,4,4,4,4,4,4,3,3,166,57,1,1,1,2,3,4,4,4,3,4,3,6766
4,3,3,3,3,4,4,3,4,2,1,1,3,4,4,4,3,5,4,4,4,5,3,2,3,1,4,1,3,1,1,1,5,3,3,1,5,4,4,5,4,2,1,4,3,2,1,185,60,2,1,1,2,3,3,3,4,3,3,4,6767
3,3,2,4,3,4,4,4,4,2,1,1,3,4,4,5,3,5,3,5,4,3,3,3,3,1,6,2,1,1,4,2,5,4,3,1,5,5,4,11,3,3,3,4,4,3,3,178,77,4,1,1,2,3,3,4,4,3,5,5,6768
4,3,4,3,4,4,3,5,3,1,2,2,3,2,2,4,3,3,3,3,3,3,3,3,3,2,4,2,4,1,3,2,3,2,3,2,4,3,4,11,3,3,3,3,3,2,3,173,71,2,2,1,2,3,3,3,4,3,4,4,6770
3,2,2,3,1,1,3,3,3,1,1,1,4,4,3,4,4,4,5,3,3,4,4,2,4,3,8,2,1,1,1,1,4,1,4,3,4,2,4,2,3,2,2,3,4,4,1,169,62,3,1,1,2,2,2,2,2,1,2,2,6771
1,1,5,4,5,5,5,2,4,1,1,1,1,4,4,4,1,5,4,5,5,4,4,3,4,1,8,5,1,1,4,2,2,2,5,4,5,5,4,1,5,4,1,5,1,3,1,180,77,1,1,1,2,1,4,2,1,4,4,2,6772
4,4,4,4,4,4,5,5,5,1,1,1,5,5,4,3,4,5,4,5,4,4,4,1,5,1,13,2,2,2,5,4,4,3,4,4,5,4,4,2,4,3,3,5,5,3,3,162,47,1,1,1,2,4,3,3,4,3,3,3,6773
3,3,3,3,3,4,3,3,3,1,1,2,3,2,3,3,3,3,3,4,3,4,3,3,3,2,2,2,3,3,4,3,3,3,3,2,2,2,3,1,2,3,3,3,3,3,2,150,65,2,1,1,2,4,3,3,5,4,5,5,6775
3,3,2,2,2,3,3,2,2,2,1,2,3,2,3,3,3,4,4,4,4,4,3,1,5,2,8,1,3,3,2,3,3,4,3,3,5,5,4,2,3,3,3,4,3,3,1,174,63,2,1,1,2,4,3,4,4,3,4,5,6776
4,2,5,4,2,5,5,4,5,2,1,1,3,5,4,3,2,5,5,5,5,5,5,4,5,3,8,2,5,4,2,1,4,3,4,4,5,4,4,11,4,4,3,5,4,3,1,174,70,1,1,1,2,3,3,3,3,3,4,3,6777
3,3,2,3,3,2,3,4,3,1,1,1,3,3,3,4,3,4,3,2,3,3,2,2,4,2,4,2,4,4,3,3,3,3,4,4,3,3,3,11,2,3,2,3,4,3,1,166,60,2,1,1,2,4,3,4,4,1,4,5,6780
4,3,3,3,3,4,4,2,2,1,1,1,3,4,2,3,4,4,4,4,5,4,4,4,5,1,8,1,4,3,4,3,4,4,5,4,4,2,5,11,3,3,3,3,3,3,3,156,60,1,1,1,2,2,2,3,5,3,4,4,6786
4,4,5,5,3,4,3,3,3,1,1,1,3,3,3,3,3,3,4,3,3,3,3,2,3,2,5,2,4,4,3,3,5,3,2,1,2,1,4,1,3,4,3,3,4,3,1,174,68,1,1,1,2,4,3,4,4,4,3,3,6788
3,2,3,4,3,3,3,3,3,2,2,2,3,2,1,2,1,3,3,3,4,3,3,2,3,1,13,1,3,2,2,2,3,2,2,1,2,1,3,2,2,2,1,3,2,2,1,162,53,2,2,1,2,3,3,3,3,2,4,3,6789
3,3,4,4,4,4,1,4,4,1,1,1,3,2,2,4,2,5,5,5,5,4,3,2,5,4,13,2,3,2,4,4,1,1,1,1,3,3,5,1,1,2,3,4,3,2,3,170,59,1,1,1,2,3,3,3,4,3,4,5,6790
2,3,2,3,4,4,5,5,3,2,1,2,4,4,2,4,3,5,3,5,5,4,3,3,5,3,1,2,2,1,5,4,4,3,4,3,5,5,2,11,4,4,1,4,4,3,1,164,48,2,1,1,2,2,3,3,4,3,4,4,6793
3,3,2,3,3,4,4,2,2,2,2,2,4,4,4,4,5,4,3,4,2,4,4,3,3,3,14,2,4,4,3,3,5,5,5,4,4,4,4,7,4,4,3,4,3,3,1,165,48,2,1,1,2,5,4,4,4,3,3,4,6796
4,5,5,3,2,2,4,3,2,1,1,2,3,4,4,5,3,3,4,5,5,4,3,3,3,3,4,4,5,4,5,3,5,2,5,3,5,4,4,3,4,4,3,3,4,4,3,178,70,3,1,1,2,3,3,4,4,3,4,4,6797
4,3,3,3,3,4,3,3,2,1,1,2,4,5,4,5,3,4,2,4,3,2,2,3,3,2,6,2,4,2,5,5,4,3,2,2,3,3,5,11,2,2,2,3,3,2,1,171,57,3,2,1,2,2,3,3,3,3,3,3,6799
4,3,3,3,3,1,5,5,5,2,1,2,4,5,4,4,3,5,4,5,4,4,4,2,4,2,2,1,4,1,5,4,5,3,5,4,5,4,4,11,3,2,3,5,4,3,2,177,65,2,2,1,2,3,3,3,5,3,4,4,6800
2,3,3,3,2,2,4,3,3,1,1,1,2,4,3,5,3,3,3,4,4,3,3,4,5,4,13,1,5,4,3,3,3,2,1,1,4,4,3,2,3,3,3,3,3,2,3,160,50,3,1,1,2,3,3,3,4,3,4,4,6801
4,4,4,2,2,4,4,2,2,1,1,1,5,2,4,4,4,4,5,4,4,4,4,2,4,1,13,2,4,3,4,3,3,3,2,2,4,4,4,2,2,4,3,4,4,3,3,162,48,1,1,1,2,5,4,5,5,2,5,5,6802
4,4,2,3,3,4,4,3,2,1,1,2,4,1,2,4,3,4,4,5,5,5,5,1,4,2,2,4,3,4,5,5,4,3,3,2,4,1,5,11,1,2,4,4,5,2,4,163,50,1,1,1,2,4,4,4,4,3,4,5,6803
3,3,2,2,3,3,2,3,3,2,1,2,2,3,4,2,3,3,3,3,4,3,3,2,2,1,5,2,4,4,4,4,2,2,2,2,2,2,3,7,2,3,3,3,3,2,1,165,68,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6807
4,3,3,3,2,4,4,3,3,1,1,2,4,4,3,4,3,4,-5,-5,-5,-5,-5,-5,-5,1,13,6,4,2,2,2,2,1,3,1,2,3,1,5,3,2,3,4,4,3,1,182,87,1,1,1,2,1,1,3,3,3,3,3,6809
4,3,2,3,3,3,5,4,4,1,1,1,5,4,4,4,4,4,4,4,4,4,5,2,4,3,13,4,5,4,3,3,3,3,2,3,4,4,4,9,4,4,3,4,4,3,1,175,58,1,1,1,2,5,2,4,5,3,4,5,6811
4,3,3,2,4,4,2,4,4,2,1,2,2,2,2,3,4,4,3,4,5,4,2,4,3,3,2,1,4,3,3,2,3,3,3,3,4,4,4,4,2,2,4,3,4,2,1,152,50,1,1,1,2,3,2,3,4,3,3,4,6812
4,3,4,3,4,4,2,4,4,2,2,2,3,4,3,4,4,4,3,5,5,5,4,2,5,3,4,3,2,3,1,1,3,3,4,4,4,4,4,11,3,2,3,4,4,2,1,178,85,2,1,1,2,2,3,3,4,3,4,3,6814
4,3,4,2,4,2,4,2,2,2,1,1,3,2,2,4,3,4,4,4,4,4,2,3,1,4,5,3,5,5,1,1,3,2,3,4,5,5,4,1,2,2,3,4,4,3,1,183,70,1,1,1,2,3,3,3,4,3,4,4,6816
4,3,3,3,3,2,3,3,2,2,1,2,4,3,3,4,3,4,3,5,3,4,3,2,3,3,1,3,3,3,4,4,3,2,2,2,3,2,4,11,2,2,3,4,3,3,1,177,56,1,2,1,2,3,4,3,4,3,3,3,6817
3,1,1,1,2,1,2,2,2,2,2,2,3,3,4,5,2,3,5,5,4,4,4,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,4,2,3,2,2,3,3,3,1,175,65,1,1,1,2,3,3,2,3,3,2,4,6818
3,3,1,3,3,4,2,2,2,1,1,2,3,4,3,2,3,3,3,5,3,5,5,1,4,3,5,2,1,1,3,3,5,5,5,2,3,2,5,3,3,5,3,3,5,3,4,163,52,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6820
4,3,2,3,4,4,3,3,4,1,1,2,3,3,4,4,3,4,4,4,4,4,4,1,4,1,5,2,2,2,3,3,3,3,2,2,3,3,4,2,3,3,3,4,4,2,3,160,58,2,1,1,2,2,5,5,5,3,5,5,6821
4,3,2,4,4,2,3,2,4,1,1,1,2,3,4,5,3,4,4,4,4,4,5,2,4,4,13,3,3,2,3,4,3,4,3,4,3,5,3,1,3,4,3,4,2,4,3,162,51,1,2,1,2,1,4,3,3,2,3,3,6824
5,4,2,4,4,4,3,4,3,2,1,1,3,2,4,4,3,5,5,4,5,5,5,2,4,3,13,1,2,3,4,3,3,3,2,2,4,4,3,2,2,2,3,4,4,3,1,165,50,2,1,1,2,3,3,2,4,3,4,3,6825
2,2,2,3,2,3,3,2,2,2,2,1,5,2,2,4,3,3,5,4,5,5,2,2,4,2,13,2,1,1,4,4,4,3,4,3,2,3,4,1,2,4,4,3,4,4,3,160,45,1,1,1,2,3,3,3,4,4,3,4,6826
4,3,3,3,4,5,4,4,3,2,1,1,3,3,2,4,3,5,5,4,5,4,4,1,5,2,13,2,4,5,5,4,5,5,4,5,3,3,4,7,3,2,3,5,5,3,1,160,46,1,2,2,2,3,3,3,3,3,4,4,6827
2,2,5,4,5,5,3,4,4,1,1,2,2,4,2,4,3,5,4,5,4,4,5,4,4,3,2,1,1,1,4,2,4,3,1,2,5,4,2,2,4,2,3,5,5,4,4,175,56,2,1,1,2,2,3,3,4,3,4,4,6830
4,4,2,4,3,2,3,2,4,2,1,2,2,3,2,4,2,4,5,5,4,4,3,2,3,3,5,2,2,4,4,3,1,4,3,3,4,4,4,1,2,3,2,4,4,3,1,173,72,2,1,1,2,3,3,3,3,3,3,3,6831
4,4,3,4,2,4,4,2,3,1,1,1,4,5,3,4,3,5,4,3,5,1,1,1,4,3,1,1,5,5,1,1,5,5,3,2,5,5,4,7,3,4,2,5,4,3,4,170,57,2,1,1,2,3,4,4,4,4,4,4,6832
2,2,2,4,5,5,2,2,4,2,2,2,3,1,2,2,3,4,4,3,4,3,3,2,4,2,13,1,4,4,3,4,1,1,1,1,4,3,5,11,1,2,2,4,3,2,1,154,52,3,2,1,2,3,3,3,3,2,4,4,6833
4,3,3,2,3,5,2,3,5,1,1,1,2,3,3,4,3,5,3,3,3,3,3,2,4,3,2,1,3,3,1,1,4,4,4,4,5,5,2,2,2,3,2,5,3,3,2,176,94,1,1,2,2,1,3,3,3,2,3,3,6834
2,3,4,2,3,3,2,1,2,2,1,2,3,4,3,4,5,4,4,4,4,2,1,3,3,1,8,2,4,3,4,4,2,1,4,2,2,5,1,11,3,4,2,3,2,4,3,175,62,2,1,1,2,2,2,2,4,3,3,3,6836
3,4,3,2,3,2,2,4,2,1,1,1,2,3,2,5,3,5,4,4,4,4,2,4,5,1,2,2,3,3,5,5,3,3,3,3,4,3,2,11,2,2,2,3,3,3,1,174,80,1,2,1,2,3,3,3,3,3,3,3,6837
4,3,4,3,5,5,5,5,5,1,1,1,4,4,4,5,4,4,5,4,5,4,4,2,4,1,6,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,3,3,3,3,172,58,1,1,1,2,4,4,4,5,4,5,5,6838
4,3,3,4,2,3,2,2,2,2,1,2,2,3,2,5,3,4,5,4,5,4,3,2,5,3,5,2,4,2,2,3,2,2,2,1,4,3,4,2,3,2,3,4,3,2,1,162,47,2,2,1,2,2,3,2,4,3,4,3,6839
3,3,3,3,4,4,4,2,3,2,1,1,2,4,4,3,4,4,4,4,4,4,4,1,5,3,13,2,4,3,2,2,4,3,5,4,4,2,3,2,2,2,2,4,4,3,1,169,53,3,1,2,2,2,3,2,3,2,3,3,6840
4,3,4,3,2,3,4,2,2,1,1,1,4,3,3,4,3,4,5,5,5,5,5,2,5,3,2,3,5,4,2,3,4,4,4,4,3,3,4,2,3,3,4,4,4,3,1,165,62,2,2,1,2,3,3,3,4,3,4,3,6844
4,3,3,5,4,4,2,2,3,1,1,1,5,3,4,4,3,4,4,4,4,4,4,2,4,3,2,1,3,3,4,4,5,3,4,3,3,3,3,11,3,3,3,3,4,4,3,165,53,2,1,1,2,4,2,3,3,2,4,4,6845
4,1,4,4,4,3,4,4,3,2,1,2,2,3,3,5,2,4,5,4,4,4,4,3,4,3,10,1,1,1,4,3,4,3,4,3,3,3,3,11,3,3,2,4,4,4,3,162,47,1,1,1,2,3,3,3,3,2,3,3,6846
3,3,3,3,2,2,2,2,2,2,1,2,4,3,4,4,3,4,4,3,3,4,3,2,4,1,10,2,2,1,4,3,4,2,3,1,4,3,4,11,2,2,2,3,4,2,1,161,56,2,2,1,2,2,2,2,4,2,2,4,6847
3,3,4,3,3,4,4,2,2,1,1,2,4,3,3,4,2,4,5,4,4,5,4,1,5,3,1,3,3,2,4,3,3,2,4,3,4,3,4,9,3,3,2,4,4,4,3,163,53,2,1,1,2,4,4,5,4,2,4,4,6848
4,4,3,4,5,3,5,4,5,1,1,1,4,2,3,4,3,4,4,2,4,4,4,2,4,3,3,2,3,2,2,2,2,2,2,2,4,3,3,2,3,4,3,4,4,3,1,174,60,3,2,1,2,2,3,3,4,2,4,3,6850
3,4,3,2,2,3,4,2,2,1,1,1,4,3,2,4,3,3,5,5,5,5,5,2,5,3,13,1,2,2,4,4,4,3,4,4,2,2,2,9,3,2,3,4,4,4,1,160,48,2,1,1,2,5,2,3,5,3,4,5,6853
3,3,4,3,4,4,3,5,5,2,1,2,3,4,3,3,3,4,3,4,3,5,3,4,3,4,8,3,4,1,3,4,4,4,3,3,5,5,1,1,4,3,3,4,3,3,1,168,55,2,1,1,2,2,3,2,3,2,3,3,6854
4,4,4,3,3,4,4,5,3,1,1,1,2,4,4,5,3,5,5,5,5,4,5,3,5,3,13,1,4,3,1,1,5,1,1,1,5,4,4,7,4,4,3,4,3,2,1,169,57,2,2,1,2,1,5,4,4,4,5,3,6855
4,3,3,4,3,3,4,2,3,1,1,1,3,4,2,4,3,4,4,4,4,3,3,2,4,2,2,2,3,3,4,4,3,3,3,3,4,4,3,1,4,2,3,4,3,3,3,170,60,1,1,1,2,5,3,4,5,3,5,5,6856
4,4,5,4,5,4,3,4,4,1,1,1,4,4,4,4,3,4,4,4,4,4,4,1,4,3,2,4,2,3,4,3,2,2,2,2,4,5,4,1,3,3,3,4,4,4,1,190,70,2,1,1,2,4,4,4,4,3,4,4,6857
3,2,4,2,2,4,4,4,2,2,1,2,3,3,3,4,3,4,4,4,4,2,4,3,5,3,4,1,4,2,1,1,5,4,1,1,5,4,4,3,4,3,2,4,2,3,1,177,74,1,1,1,2,3,4,4,4,2,3,3,6859
3,4,3,3,4,4,4,2,4,2,1,2,3,5,4,5,3,5,3,5,5,5,5,3,4,4,2,2,1,1,3,2,4,3,1,1,2,2,5,2,5,4,3,4,3,3,4,165,68,2,1,1,2,3,5,5,4,3,5,5,6860
3,4,3,3,2,1,2,2,3,1,1,1,4,2,2,5,1,3,2,3,3,3,2,4,3,1,3,4,5,5,2,1,5,2,1,1,3,1,2,9,2,2,1,3,3,3,2,168,63,3,2,1,2,4,2,3,4,3,3,3,6861
4,3,4,3,4,4,4,3,3,2,1,1,3,4,3,4,3,4,5,3,4,5,3,1,5,3,2,5,4,3,5,4,1,2,4,3,3,3,3,3,4,4,3,5,4,2,2,162,66,2,1,1,2,3,4,4,4,3,4,4,6863
3,3,3,3,4,4,4,4,4,1,1,1,3,3,3,4,3,5,4,4,4,3,3,3,4,3,6,1,4,3,2,2,4,3,3,2,3,3,4,11,3,3,3,3,3,3,1,180,85,2,1,1,2,3,3,3,4,3,4,4,6866
4,2,1,2,2,3,3,1,2,2,1,1,3,4,4,4,3,4,4,4,4,3,3,1,5,2,3,6,1,1,5,5,5,3,5,3,5,3,2,1,2,4,2,3,3,3,3,175,80,2,1,1,2,1,4,3,5,3,4,4,6867
5,5,5,3,5,5,5,5,5,1,1,1,5,5,5,5,5,5,4,5,4,5,5,1,5,3,4,2,5,5,4,4,5,5,5,3,5,5,4,1,5,5,5,5,5,4,1,172,62,1,1,1,2,4,5,5,5,4,5,4,6869
3,3,3,5,4,4,2,4,5,1,1,2,3,4,4,4,4,4,5,5,5,4,4,2,4,3,7,2,2,2,3,4,5,5,3,4,3,4,5,4,5,4,3,3,3,3,4,164,60,2,2,1,2,1,5,3,3,3,4,3,6871
