BYSID,GENDER,father_job,BYS22001,BYS22002,BYS23002,BYS04008,BYS04009,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schFacilSatisfi_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,teacherRel_cate,AT_05,J007C
5835,2,1,8,2,1,4,1,3,3,1,2,4,2,1,1,1,1
5836,1,2,1,2,1,1,5,2,2,1,2,2,2,2,1,1,2
5842,1,4,1,2,1,4,3,3,3,1,3,3,2,3,1,2,2
5843,1,0,2,3,2,4,1,3,3,1,3,4,2,3,1,2,2
5845,2,0,8,1,1,1,6,3,4,1,3,4,3,2,1,1,2
5846,1,2,8,2,1,4,6,3,3,2,2,3,2,3,1,2,2
5853,1,1,3,2,3,4,3,1,1,2,2,2,2,1,2,0,4
5854,1,5,5,1,5,4,1,3,3,1,2,4,3,2,1,2,1
5855,1,1,1,2,1,4,9,3,3,1,2,3,3,2,1,1,3
5856,2,0,2,9,1,4,3,3,2,1,3,3,4,2,1,0,1
5857,2,2,2,8,1,5,3,3,4,2,2,4,2,1,1,1,1
5858,2,2,2,6,1,3,1,3,3,1,3,4,3,1,1,1,2
5859,2,4,1,2,1,3,1,3,4,1,3,2,1,2,1,1,2
5860,1,1,1,3,1,4,2,2,2,2,3,3,2,1,1,1,4
5861,1,0,6,3,1,3,1,3,2,2,3,1,3,3,1,1,3
5864,1,0,6,1,8,4,1,3,3,1,4,3,3,4,1,2,2
5866,2,4,1,8,1,6,3,2,2,2,3,2,3,1,1,1,2
5867,2,4,2,6,1,1,4,3,3,1,4,4,3,4,1,2,1
5871,1,1,2,1,1,3,1,3,2,2,2,3,2,3,1,2,1
5873,1,4,1,9,2,4,9,3,4,2,3,4,3,1,1,1,1
5874,1,4,2,6,1,1,3,4,3,1,4,4,2,1,1,1,1
5878,1,5,8,2,1,1,2,3,3,1,2,4,3,3,1,1,1
5880,2,0,2,1,1,3,1,2,2,1,2,2,3,3,1,1,1
5881,2,5,2,1,1,1,2,3,3,2,2,3,2,2,1,1,1
5882,2,0,2,6,1,3,1,3,2,1,3,4,3,3,1,1,3
5883,2,2,1,2,1,9,4,2,3,2,3,3,1,2,1,0,1
5886,2,4,2,7,1,6,2,3,3,2,3,3,2,4,1,2,1
5887,1,4,1,6,2,5,1,3,3,1,4,4,3,2,1,2,2
5888,2,5,8,2,1,3,1,2,3,1,3,3,3,1,1,1,3
5889,2,4,2,1,1,5,2,3,3,2,2,2,3,2,1,1,1
5892,1,4,1,4,3,4,1,3,3,1,3,3,2,1,1,0,1
5894,1,4,3,1,1,1,9,3,4,2,3,3,3,1,2,0,1
5895,1,3,3,10,1,3,4,2,2,2,3,3,3,2,1,1,4
5902,1,3,1,2,1,4,5,4,4,2,2,4,3,3,1,0,2
5905,1,1,1,6,9,4,6,3,3,2,2,2,3,1,2,1,2
5906,2,3,8,1,3,1,4,3,3,1,3,4,2,2,1,1,1
5908,2,3,2,1,3,1,6,3,3,2,2,3,2,2,1,1,1
5912,2,1,2,8,1,1,7,3,2,1,2,3,2,4,1,2,1
5915,2,0,2,1,1,3,5,2,2,1,3,1,2,3,1,2,1
5917,1,4,3,1,3,6,1,3,2,2,3,2,3,1,1,1,1
5918,1,0,1,2,1,4,1,3,3,2,2,3,3,1,1,1,2
5919,2,4,8,1,1,1,6,3,3,2,2,4,3,3,1,1,1
5921,2,4,3,2,3,5,1,3,2,2,3,4,1,3,1,2,1
5924,2,3,4,7,5,3,1,3,3,2,3,3,3,2,1,1,4
5927,1,0,3,8,3,5,1,3,4,2,2,3,3,2,1,2,1
5928,1,2,3,7,1,4,6,3,3,1,2,3,1,1,2,1,2
5930,1,2,3,1,1,4,1,3,3,2,4,4,2,1,1,0,4
5932,1,3,1,9,1,4,5,2,3,1,2,3,2,1,2,1,1
5935,1,4,2,3,1,4,3,3,3,2,4,3,3,2,1,1,4
5936,2,1,2,8,4,3,1,3,2,1,2,2,3,2,1,1,3
5938,1,3,1,9,1,4,3,2,2,2,3,2,2,3,2,2,4
5939,2,2,1,3,1,1,5,3,3,2,2,4,2,3,1,2,1
5942,1,3,2,1,1,1,6,3,4,2,2,3,3,2,1,0,1
5950,1,1,1,3,1,4,1,3,3,1,3,2,2,4,1,2,1
5953,1,1,9,2,6,2,1,3,3,1,3,3,2,2,1,1,2
5958,1,5,1,8,1,6,5,3,2,1,3,3,3,3,1,0,3
5966,1,4,6,3,2,3,4,3,3,2,2,3,3,2,2,2,2
5967,2,3,2,1,1,3,1,3,3,2,2,2,2,3,1,2,3
5968,1,1,2,9,1,4,1,3,2,1,3,4,3,2,1,1,3
5970,2,5,3,9,8,3,9,3,2,1,2,2,2,2,1,0,4
5973,2,4,3,8,2,6,1,3,3,2,2,2,2,1,1,1,3
5975,1,1,1,2,3,1,4,3,2,1,3,2,2,2,1,2,4
5978,2,3,2,9,1,1,5,2,2,2,2,2,4,1,1,1,1
5982,2,5,1,2,1,6,1,3,3,3,3,3,3,3,2,0,1
5983,2,0,2,8,1,1,3,3,3,1,4,3,3,3,1,1,1
5985,1,4,4,10,1,1,4,4,4,1,2,3,3,2,1,1,1
5988,2,4,2,1,1,9,1,3,3,2,3,2,2,1,1,1,3
5991,1,1,1,2,1,6,5,3,4,1,3,3,3,3,1,2,4
5992,2,5,1,3,1,5,9,2,2,2,2,3,2,1,2,1,1
5994,2,0,6,1,1,5,9,2,2,1,2,3,2,2,1,2,1
5999,1,1,3,1,3,1,7,3,3,2,2,2,2,4,1,2,4
6004,1,1,1,3,1,1,4,3,2,1,2,2,3,2,2,2,1
6005,1,1,1,7,2,6,4,4,4,2,1,4,4,2,1,1,3
6006,1,1,2,9,1,4,3,3,2,1,2,4,4,4,1,2,1
6007,2,3,1,6,1,3,1,3,2,2,4,3,3,1,1,1,1
6008,1,0,1,3,2,3,6,2,3,1,3,2,3,2,1,1,3
6009,2,1,2,9,1,4,5,4,4,1,3,5,4,4,1,1,2
6010,2,3,1,2,1,3,6,3,3,1,3,3,2,2,1,0,1
6011,1,4,1,2,3,4,1,3,2,2,3,3,2,4,1,2,4
6012,2,5,8,3,3,3,2,3,2,1,4,2,3,3,1,1,1
6015,2,1,2,6,1,3,1,3,3,1,2,2,3,3,1,2,1
6017,1,0,1,6,1,4,3,3,3,2,4,3,2,4,1,2,4
6020,1,1,1,2,1,6,1,3,3,1,2,4,3,2,1,1,2
6021,1,4,6,8,4,1,4,3,2,1,3,2,3,3,1,1,3
6023,1,1,1,7,2,3,1,3,3,1,3,3,2,2,2,2,4
6026,2,4,2,6,1,1,4,3,3,1,3,3,3,3,1,0,1
6027,2,0,1,9,2,1,9,2,2,2,4,2,3,1,1,1,1
6028,1,4,2,1,1,1,6,3,3,1,3,3,4,2,1,1,3
6029,2,2,2,1,1,3,1,2,2,2,3,3,2,4,1,2,1
6035,2,4,2,1,1,1,6,3,3,1,3,3,2,2,1,1,1
6039,1,4,3,1,1,4,3,3,2,1,2,3,2,3,1,1,4
6042,2,3,8,3,4,5,4,3,2,1,4,2,4,2,1,1,3
6043,1,4,2,1,1,6,4,3,3,2,3,3,3,2,1,0,4
6045,2,3,3,2,1,9,1,3,2,2,2,3,2,3,1,2,1
6047,2,1,9,4,2,2,7,2,1,2,3,3,1,4,1,2,4
6049,1,1,1,3,3,1,5,3,3,1,2,4,2,4,1,2,3
6050,1,1,8,5,2,4,1,2,2,1,2,3,4,4,1,1,1
6052,1,3,2,1,1,1,6,3,3,2,3,3,3,2,1,0,1
6053,1,5,4,1,4,3,8,3,4,1,2,2,3,2,1,1,1
6055,1,4,1,9,1,4,6,2,3,2,3,3,1,3,1,2,4
6057,2,2,9,6,4,1,2,3,4,2,2,3,4,4,1,2,1
6058,1,4,2,3,1,4,1,3,3,2,3,3,2,2,1,2,4
6060,2,5,2,1,1,3,4,3,3,1,3,2,2,2,1,1,1
6062,1,1,3,1,2,4,3,3,3,1,2,2,3,3,1,2,4
6063,1,1,4,1,1,1,4,3,3,1,3,4,4,2,1,1,1
6067,1,5,1,3,2,3,4,4,3,2,3,3,3,3,1,1,1
6068,1,4,2,1,1,4,3,3,3,2,2,2,3,2,1,1,2
6073,2,1,6,8,6,1,6,3,2,1,3,2,3,2,1,1,2
6076,1,1,1,2,1,5,4,4,5,1,2,4,3,3,1,2,2
6079,2,4,2,9,1,2,6,2,2,3,2,2,1,2,2,2,2
6081,1,1,2,9,1,4,1,3,2,1,3,3,3,2,1,1,4
6084,1,1,1,9,3,4,1,2,2,2,3,3,3,3,1,2,1
6085,2,2,1,3,1,1,6,3,4,1,2,4,2,4,1,2,1
6086,2,1,2,10,4,1,4,3,4,2,2,3,3,2,1,1,1
6087,1,3,1,2,1,4,3,2,2,1,3,2,2,2,1,1,4
6092,2,1,1,2,2,3,1,2,2,1,4,2,3,1,1,1,1
6093,1,5,9,2,2,1,4,2,2,2,3,2,3,1,2,0,1
6094,1,5,1,2,1,3,4,4,4,2,4,5,1,2,1,0,4
6097,1,4,2,1,1,3,1,3,3,2,2,4,1,1,1,0,2
6099,1,3,1,7,2,4,1,4,4,1,2,3,4,2,1,1,1
6100,1,1,2,1,1,4,1,3,2,1,2,4,3,2,1,1,2
6106,2,0,2,8,1,5,1,2,2,2,3,2,2,2,1,2,1
6108,2,4,2,8,1,1,3,3,2,1,1,2,3,2,1,1,1
6114,2,0,8,1,2,1,5,3,2,2,3,4,2,3,1,1,1
6115,1,1,1,2,2,4,3,3,3,2,4,2,2,2,1,1,1
6116,1,1,1,9,1,4,1,2,2,2,3,3,3,2,1,2,4
6122,1,4,2,1,1,4,5,3,2,3,3,3,3,2,1,1,4
6124,1,0,1,9,1,4,3,2,2,3,2,2,2,1,1,1,4
6125,1,4,1,9,3,4,1,3,2,1,3,3,1,3,1,2,2
6127,1,3,2,1,1,1,4,3,3,2,3,2,3,1,1,1,3
6128,1,4,1,3,2,4,1,3,2,1,2,2,3,3,1,1,2
6129,2,1,6,2,1,3,1,2,3,1,3,5,3,4,1,2,4
6137,2,1,2,1,1,1,6,4,4,1,3,5,3,2,1,1,1
6142,1,4,1,9,2,1,4,3,3,2,3,3,1,3,1,2,1
6147,1,4,1,8,2,3,1,3,2,2,2,3,2,1,1,1,4
6148,2,4,10,2,1,1,3,3,2,1,4,3,3,4,1,2,4
6156,1,3,1,9,1,4,6,3,4,1,2,3,3,2,1,1,1
6159,1,1,2,1,1,4,1,2,2,2,2,1,1,2,2,2,4
6162,1,3,1,2,1,4,3,2,3,2,3,2,3,2,1,1,3
6165,1,5,2,1,1,4,1,3,3,1,2,3,3,2,1,0,4
6167,2,0,8,2,1,5,1,3,3,1,3,3,4,2,1,1,1
6169,2,1,2,4,4,1,3,3,3,2,3,3,3,4,1,1,1
3001,1,5,9,8,1,4,3,2,2,1,2,3,2,2,1,2,1
3003,2,1,2,4,1,3,6,3,3,1,2,4,3,3,1,0,1
3005,1,4,3,6,4,4,2,2,2,2,3,2,2,2,1,3,4
3006,1,2,1,3,1,1,4,3,3,2,3,3,3,3,1,3,4
3012,1,4,3,1,1,1,5,3,4,2,2,4,3,2,1,0,4
3013,1,4,2,6,4,4,5,3,3,1,3,4,2,4,1,0,4
3015,1,0,8,1,1,4,9,2,2,1,3,3,1,2,1,0,3
3016,2,5,2,1,1,3,6,3,3,1,2,3,1,1,1,0,4
3017,2,5,2,3,1,6,5,3,2,2,3,2,1,1,1,0,3
3018,1,4,3,1,4,4,1,3,3,2,1,2,2,2,1,0,4
3019,1,1,9,1,1,4,1,2,2,1,2,4,2,1,1,0,2
3020,1,5,1,2,1,1,4,3,3,1,3,3,3,1,1,3,1
3021,2,4,8,1,2,6,9,3,3,2,2,3,2,1,2,0,1
3022,2,4,1,2,1,3,5,3,3,2,2,4,2,1,1,0,1
3023,1,0,1,2,1,6,4,3,3,1,2,3,2,2,1,0,3
3024,1,1,1,2,1,4,1,2,2,2,3,2,2,1,1,0,4
3025,1,4,8,2,1,3,4,3,3,2,2,2,3,2,1,0,4
3026,2,4,1,2,1,6,2,3,3,2,3,3,2,2,1,0,1
3027,1,4,1,3,2,4,3,3,2,1,3,3,2,3,1,0,4
3030,2,1,2,6,1,4,5,3,2,2,2,2,3,3,1,1,1
3035,1,4,2,10,4,4,3,3,3,1,3,3,3,2,1,0,4
3036,1,1,3,9,2,3,1,3,4,1,2,3,4,2,1,3,2
3039,2,1,3,1,2,9,6,4,4,2,3,2,2,2,1,0,4
3043,2,4,10,1,3,9,1,3,3,2,4,3,3,2,1,3,1
3044,2,4,6,1,1,1,3,3,3,1,3,3,3,2,1,3,4
3046,2,0,1,2,1,4,5,3,2,2,2,2,2,1,1,0,1
3049,2,4,9,2,3,3,4,2,2,2,2,3,3,4,1,3,3
3051,1,4,3,6,1,1,4,4,4,2,1,4,3,3,1,3,2
3053,2,4,2,1,1,1,6,3,3,2,1,5,1,1,1,0,2
3056,1,0,3,2,4,4,1,4,4,1,2,4,1,1,1,0,4
3061,2,5,1,6,1,5,4,3,3,1,3,3,3,3,1,0,4
3066,2,4,3,6,1,3,5,3,3,1,2,2,2,3,1,0,1
3068,2,4,2,1,4,1,9,3,2,1,3,3,2,2,1,3,1
3069,2,5,6,8,2,5,9,2,2,2,3,3,2,2,1,0,2
3070,1,2,1,8,1,4,5,2,2,2,2,2,2,2,2,3,4
3071,1,4,1,7,4,6,1,3,3,2,2,3,2,2,2,0,2
3073,1,4,1,2,4,4,9,2,2,2,3,2,2,2,1,0,4
3076,2,1,1,3,2,9,6,3,3,2,2,4,2,2,1,3,3
3078,2,4,1,3,1,6,1,3,2,1,3,3,3,1,1,3,1
3080,2,4,1,8,2,1,5,3,2,2,3,2,2,2,1,0,1
3081,1,4,1,2,1,4,3,2,2,1,3,3,2,2,1,0,4
3085,2,4,2,9,3,4,2,2,2,2,2,2,2,2,1,0,1
3087,2,4,1,3,1,4,6,3,3,2,3,3,2,4,2,0,1
3089,2,4,1,9,9,6,1,3,3,2,3,2,2,3,1,0,3
3092,1,0,2,1,1,1,2,3,4,1,3,3,2,1,1,0,4
3096,1,5,2,3,1,3,4,3,2,1,3,3,3,1,1,0,4
3098,1,0,1,8,1,1,4,3,3,2,2,3,3,2,1,0,3
3099,1,2,7,3,4,3,4,2,3,2,3,3,2,1,2,0,3
3102,1,3,6,3,1,6,3,2,2,3,3,3,1,2,2,0,2
3103,1,4,3,8,2,4,6,3,3,1,4,3,2,1,2,0,3
3106,2,0,8,2,4,5,3,3,3,2,2,3,2,2,1,0,1
3109,2,1,1,3,1,6,1,3,2,2,3,2,3,1,1,3,1
3110,2,4,2,3,1,3,2,3,3,1,3,3,2,2,1,0,1
3112,1,4,1,6,1,4,3,3,3,1,3,3,2,1,1,0,3
3115,1,0,2,6,1,4,3,2,2,1,2,3,2,1,2,0,4
3116,1,0,1,4,1,1,4,4,4,1,3,3,3,1,1,0,4
3119,1,1,3,8,2,6,4,2,2,2,3,2,1,2,1,0,1
3121,1,2,10,1,5,1,6,3,2,2,2,2,2,3,1,0,1
3124,1,0,2,8,1,4,5,2,2,1,3,3,2,2,1,3,2
3126,1,4,2,1,4,4,5,3,4,1,2,4,2,2,1,0,2
3127,1,5,2,6,4,4,1,3,2,1,3,3,2,3,2,0,1
3129,2,3,2,1,1,1,3,3,3,1,3,3,2,1,1,0,1
3132,1,5,2,6,1,4,5,3,2,2,2,3,1,1,1,0,3
3133,2,0,3,2,2,1,4,3,2,1,3,3,3,2,1,0,2
3136,1,4,1,3,1,6,4,2,1,1,1,1,1,1,1,0,3
3139,1,5,1,3,3,4,1,2,2,2,2,3,1,2,2,0,3
3141,1,4,3,2,2,4,1,3,1,2,2,3,3,3,2,0,3
3147,1,1,2,3,1,4,3,3,3,1,3,3,3,2,1,3,4
3150,2,4,1,2,1,1,6,3,3,1,2,2,2,2,1,0,3
3151,2,0,1,8,2,1,5,3,3,2,3,3,2,3,1,0,1
3153,1,4,9,2,1,4,9,2,4,1,3,3,3,1,2,3,3
3155,1,5,1,3,3,5,6,3,2,2,4,3,1,1,1,0,4
3161,1,5,1,3,6,6,1,3,4,2,3,4,2,2,1,0,2
3162,1,0,1,8,1,6,9,2,2,2,3,2,2,2,1,0,3
3163,1,1,3,2,1,4,6,2,3,1,1,2,2,2,2,0,4
3165,1,0,5,8,4,4,7,3,2,2,2,4,4,2,1,1,3
3167,1,0,3,1,2,4,3,3,2,2,2,3,3,3,1,2,3
3170,2,5,2,1,2,6,9,3,4,2,3,3,2,2,1,0,3
3172,2,0,2,8,7,1,2,2,2,1,3,3,2,2,1,3,3
3179,1,3,1,9,1,4,6,3,3,1,3,4,3,3,1,0,2
3180,1,4,1,8,1,1,4,2,1,2,3,4,3,3,1,0,4
3181,1,0,3,1,2,4,1,2,3,1,3,3,3,1,1,0,4
3185,1,0,8,2,1,3,4,2,2,1,3,2,1,2,1,0,3
3187,1,3,2,8,1,4,3,2,1,1,2,4,1,2,1,0,1
3188,1,4,1,9,1,3,4,3,2,1,2,3,3,1,1,0,4
3189,1,5,1,7,7,4,6,2,2,2,2,2,2,2,1,0,4
3192,1,4,1,6,2,4,9,3,3,1,2,4,2,1,1,2,3
3193,1,0,2,3,1,6,4,3,3,1,3,3,2,2,1,0,2
3195,1,2,1,6,4,4,5,3,3,1,2,3,2,1,2,0,3
3196,1,1,2,3,1,1,3,3,2,2,3,3,3,4,1,3,1
3200,2,0,1,3,2,2,3,3,3,1,3,3,2,2,1,0,1
3201,1,0,2,3,1,6,4,3,4,1,3,4,2,1,1,0,2
3204,1,1,1,2,1,4,6,3,4,1,2,4,1,3,1,0,2
3205,2,5,2,1,3,3,9,3,3,1,4,4,2,2,1,0,3
3206,1,5,3,1,3,4,5,2,2,1,2,3,2,1,1,0,4
3213,1,4,6,8,4,1,4,2,3,2,2,3,4,4,1,0,1
3214,2,4,2,1,1,3,6,2,2,2,3,2,1,3,1,0,4
3215,2,1,1,2,4,1,6,3,3,2,2,3,2,3,2,3,1
3218,2,5,1,4,4,3,6,3,2,1,2,3,1,1,1,3,3
3219,2,5,8,2,1,6,3,4,4,1,4,4,3,3,1,3,1
3221,2,3,2,1,1,1,6,3,3,1,3,3,2,1,1,0,3
3226,1,4,2,8,2,3,9,3,4,1,2,4,2,2,1,0,1
3231,2,3,1,9,1,9,3,3,3,1,3,3,3,2,1,0,1
3232,1,4,8,1,1,4,3,3,2,1,3,2,2,1,2,0,2
3233,1,4,3,7,1,6,9,3,2,2,2,3,2,2,2,0,1
3236,1,4,2,1,1,1,4,3,3,2,3,3,2,2,1,0,2
3238,1,4,2,6,1,4,1,3,3,1,2,3,3,1,1,3,4
3240,1,1,1,3,1,4,9,3,4,1,2,4,2,2,1,0,1
3243,1,5,8,2,4,6,4,3,4,1,3,3,2,2,1,0,3
3245,2,4,1,3,3,9,2,2,4,2,3,3,1,1,1,0,4
3246,1,1,2,3,4,4,3,3,2,1,3,4,2,1,1,0,3
3247,1,0,2,1,1,6,4,3,3,1,2,3,2,2,1,3,1
3248,1,1,1,4,1,4,1,3,4,1,3,3,2,4,1,3,1
3255,2,4,2,1,1,1,9,3,4,1,3,3,3,3,1,0,2
3258,2,4,6,1,1,1,3,2,3,2,3,2,2,1,1,0,1
3260,1,0,8,3,2,4,3,3,3,1,3,3,2,2,1,0,3
3261,1,0,1,3,6,6,4,3,4,1,4,3,3,3,1,0,1
3262,1,5,8,3,6,4,8,2,2,2,3,3,1,2,1,3,2
3263,2,3,1,3,1,4,6,3,2,1,3,2,2,2,1,0,4
3264,1,1,2,1,1,4,5,3,3,1,1,4,3,1,1,0,2
3266,1,2,1,7,3,4,1,3,3,2,3,1,2,1,1,0,4
3269,1,4,1,3,1,4,1,3,4,1,2,4,3,4,1,3,3
3271,1,4,6,2,1,6,5,3,4,1,2,3,1,1,1,0,3
3273,1,0,1,6,1,4,1,3,4,1,3,4,3,1,1,1,3
3279,2,4,2,6,7,3,6,2,3,1,3,3,2,1,1,0,2
3292,2,0,1,8,1,1,5,3,3,2,3,3,2,2,1,1,1
3293,1,5,2,6,4,6,4,2,2,1,2,3,1,2,1,0,1
3300,2,4,8,3,2,4,6,2,2,2,2,3,2,1,1,3,1
3302,2,1,2,10,1,9,6,3,2,1,3,4,2,3,1,3,1
3307,2,1,8,6,1,6,4,3,2,2,2,2,2,1,1,0,1
3308,2,5,8,6,8,1,6,3,4,2,3,3,3,2,1,3,1
3309,1,4,1,8,1,3,6,3,4,1,3,3,3,3,1,0,3
3314,2,0,2,9,8,6,3,3,3,2,3,4,2,1,1,3,1
3316,2,4,2,7,1,4,1,3,3,1,3,4,2,2,1,0,4
3319,2,5,3,1,1,6,9,2,2,2,2,3,1,2,1,0,1
3320,2,0,6,2,4,2,4,2,2,2,2,3,2,2,1,0,4
3323,1,3,1,2,1,3,4,3,3,1,2,3,2,2,1,0,2
3324,1,1,1,8,1,4,9,2,2,1,3,3,2,2,1,0,4
3325,2,4,2,6,1,3,6,3,3,1,3,3,2,2,1,0,1
3330,1,4,5,8,1,4,3,2,2,1,3,2,1,1,1,0,4
3331,2,1,7,1,4,9,6,3,3,2,2,3,2,1,1,0,3
3332,2,1,1,8,1,3,6,3,2,1,3,3,2,2,1,0,2
3333,2,2,6,3,1,6,3,4,4,1,3,3,2,1,1,0,2
3334,2,0,1,3,1,6,3,3,3,1,1,3,3,2,1,0,1
3343,1,4,1,3,2,3,4,3,2,1,3,4,1,1,1,3,4
3346,2,5,2,8,2,1,3,3,3,1,3,3,3,1,1,0,2
3347,1,4,1,2,1,3,6,3,4,2,3,4,3,2,1,0,1
3354,2,4,1,3,3,3,6,3,2,2,4,2,2,1,1,0,1
3355,1,4,1,2,2,6,4,2,2,1,2,2,1,1,1,0,4
3358,1,4,2,1,1,4,9,4,3,2,3,4,4,2,1,0,4
3359,2,0,8,1,1,4,3,3,3,2,3,2,2,2,1,0,3
3360,2,4,1,3,1,1,2,3,2,2,2,3,1,2,1,3,1
3363,1,4,2,1,1,4,1,2,2,2,2,3,1,2,1,0,4
3366,1,4,3,2,6,4,5,3,2,1,2,2,2,2,1,0,1
3369,1,0,1,2,4,6,4,3,3,1,2,3,1,1,1,0,4
3370,1,4,1,2,1,4,6,3,4,1,3,3,3,1,1,0,4
3371,2,0,1,2,2,4,9,2,2,1,1,2,2,2,2,0,1
3374,2,5,6,1,1,1,6,3,3,1,3,3,2,2,1,3,1
3376,1,5,2,8,1,4,5,3,2,1,2,3,2,1,1,3,4
3378,1,4,1,8,1,4,3,2,3,1,3,3,1,2,1,0,2
3384,1,1,1,3,1,4,1,3,2,1,3,3,3,2,1,0,4
3389,2,3,1,6,1,4,1,3,3,1,4,4,2,2,1,0,3
3390,2,0,1,3,2,1,6,3,3,1,2,2,3,2,2,0,4
3392,2,4,6,1,2,4,3,3,4,2,2,3,3,2,1,0,4
3393,1,4,3,1,2,1,6,3,2,1,2,2,2,3,1,0,4
3395,2,4,1,3,1,3,1,3,2,2,4,3,2,1,1,0,1
3396,2,5,8,1,1,9,6,3,3,1,2,3,2,1,1,3,1
3398,2,3,9,2,6,5,9,2,2,2,2,2,2,1,1,3,1
3399,2,5,4,1,1,9,3,3,4,1,4,2,1,2,1,0,3
3407,2,5,8,9,2,6,1,3,4,1,2,3,2,1,2,0,1
3409,2,1,2,1,1,6,3,3,3,1,2,4,2,3,1,0,1
3410,2,2,2,1,2,9,3,4,4,1,1,2,2,2,1,0,2
3419,1,0,1,2,1,1,4,2,2,1,2,2,2,1,1,0,3
3420,1,3,8,1,2,4,5,3,3,1,4,4,3,2,1,0,4
3422,1,4,1,2,1,4,1,3,2,1,3,2,3,2,1,0,1
3425,1,0,1,2,1,1,6,3,3,2,3,3,3,3,1,0,4
3431,1,0,3,2,1,4,3,2,3,1,2,2,2,2,1,0,3
3438,2,0,1,2,1,6,2,3,3,2,2,3,2,2,1,0,1
3440,1,4,1,3,1,4,9,3,2,1,2,2,3,3,2,1,1
3441,2,4,1,2,4,1,6,2,2,1,2,3,3,3,1,0,1
3445,2,3,1,2,1,1,2,3,2,1,3,2,3,2,1,3,1
3447,2,1,8,2,1,6,1,2,2,1,3,3,3,2,1,0,3
3449,2,2,2,3,1,5,4,3,3,1,4,2,2,1,1,3,1
3450,2,5,1,8,3,1,6,3,3,1,3,3,3,2,1,0,4
3451,2,4,8,1,3,6,3,3,3,2,3,3,3,2,1,0,4
3453,1,1,1,4,1,3,4,3,3,2,2,4,2,2,1,0,4
3458,1,5,1,3,2,4,5,3,3,2,3,3,3,2,1,0,4
3460,1,4,1,2,1,4,9,3,4,2,2,3,1,2,1,3,1
3461,1,2,6,1,1,6,4,3,4,1,2,4,2,2,1,0,3
3467,1,5,2,8,1,4,1,3,2,1,3,3,2,3,1,0,4
3468,1,0,1,3,1,5,6,3,4,2,3,4,3,3,1,0,4
3469,2,3,6,9,1,1,5,3,3,1,2,3,3,2,1,0,1
3470,1,4,1,3,4,1,2,4,5,2,3,4,2,1,1,3,4
3474,1,0,6,5,1,1,6,3,2,2,3,3,2,4,1,0,4
3478,1,4,3,1,2,4,6,3,3,1,2,4,3,3,1,0,1
3479,1,5,1,3,1,4,6,2,2,2,3,5,2,1,1,3,2
3481,1,2,2,6,1,4,6,3,3,2,2,3,3,1,2,0,2
3484,2,5,3,2,3,5,4,2,1,1,3,3,2,3,1,0,2
3487,2,5,2,6,1,5,3,4,4,1,2,5,2,1,1,0,2
3488,2,4,1,8,4,3,6,3,2,2,3,2,3,3,1,0,1
3494,1,0,3,1,2,4,3,2,1,2,3,3,2,3,1,0,3
3496,1,3,9,2,4,4,6,3,3,1,1,2,2,1,1,0,4
3498,2,4,4,8,1,3,4,3,4,1,3,3,3,3,1,0,2
3499,2,0,2,3,1,1,3,3,4,2,4,4,3,2,1,3,3
3500,2,5,1,6,4,3,5,3,3,1,3,3,2,2,1,0,1
3502,2,4,2,3,1,6,1,3,2,2,2,2,2,2,1,0,3
3503,2,1,3,2,1,6,4,3,3,1,2,2,2,1,1,0,1
3504,2,5,2,1,7,1,2,2,2,1,3,2,3,3,1,0,1
3507,1,4,1,3,4,3,6,3,3,1,2,3,3,2,1,0,1
3508,1,0,1,2,1,6,1,3,3,2,2,4,2,1,1,3,4
3511,2,0,8,2,1,5,1,2,2,2,3,2,2,2,2,0,2
3514,2,3,3,2,1,6,4,2,2,2,2,1,1,1,1,0,4
3515,2,2,2,1,1,3,4,3,2,2,3,2,2,2,1,0,2
3517,2,4,2,8,1,4,6,3,3,1,3,4,2,3,1,0,1
3518,1,4,1,8,7,4,5,3,3,1,4,3,3,2,1,3,2
3520,1,0,3,1,2,4,5,3,3,2,3,3,2,2,1,0,4
3526,1,2,2,1,1,4,6,2,2,2,3,2,2,2,1,0,3
3527,1,3,1,3,2,6,4,3,3,2,2,3,3,2,1,0,3
3531,1,4,8,1,1,4,3,2,3,2,3,3,2,1,1,0,4
3532,1,5,2,9,1,4,1,2,2,1,3,2,1,1,1,0,1
3533,1,4,1,9,2,4,5,3,4,1,4,4,2,2,1,3,2
3535,1,2,2,3,1,3,4,4,3,1,3,5,3,2,1,0,1
3536,1,0,1,8,1,4,6,2,3,1,2,2,2,3,1,0,1
3543,2,3,2,8,1,9,6,3,2,2,3,3,2,1,1,0,3
3544,2,0,1,2,3,3,4,3,2,2,3,2,2,2,1,3,1
3547,2,3,4,2,1,1,4,3,2,2,3,3,2,1,1,3,2
3551,1,1,1,2,3,4,2,3,2,1,3,3,2,2,1,0,4
3553,2,0,2,3,1,1,3,3,2,2,3,3,1,1,1,0,2
3557,1,4,3,6,2,6,9,2,2,1,3,3,1,2,1,3,4
3559,1,5,3,1,1,6,4,3,3,1,3,3,2,2,1,0,3
3566,1,4,7,1,1,4,1,2,2,1,3,2,2,3,1,0,4
3568,1,0,8,9,1,4,5,2,2,2,3,3,1,4,1,0,4
