BYSID,GENDER,father_job,BYS22001,BYS22002,BYS23002,BYS04008,BYS04009,selfConcept_cate,lifeSelfConfidence_cate,emotionalStability_cate,schFacilSatisfi_cate,careerSelfEfficacy_cate,liberalArts_cate,naturalSciences_cate,teacherRel_cate,AT_05,J007C
5204,1,4,1,8,7,1,4,3,3,2,1,4,2,3,1,2,2
5206,1,0,1,8,3,1,2,3,3,1,3,1,3,1,1,1,3
5211,1,4,1,10,1,1,4,3,3,2,3,3,3,3,1,0,3
5213,1,5,3,6,2,6,1,3,3,2,3,3,2,2,1,1,3
5215,1,1,1,3,3,4,3,2,2,1,3,2,3,1,1,1,4
5219,1,0,1,8,1,6,3,3,4,2,3,4,2,1,1,1,4
5220,1,4,1,2,1,4,3,3,3,1,2,4,1,4,1,2,4
5223,1,1,1,3,1,4,9,3,4,1,3,3,3,1,1,1,3
5225,1,0,2,1,1,3,4,2,2,1,2,2,2,4,1,2,4
5226,2,1,2,1,1,6,1,3,3,2,3,3,2,4,1,2,1
5233,2,4,2,6,1,1,4,4,5,1,4,5,3,4,1,2,1
5236,2,4,2,3,1,2,1,2,1,2,3,2,2,3,2,2,3
5237,1,5,6,2,1,5,1,1,1,2,2,1,3,1,1,1,1
5244,2,0,1,3,1,6,3,3,1,2,4,2,2,4,1,2,4
5245,2,1,1,2,3,3,1,3,3,2,3,2,3,3,1,1,3
5246,1,0,1,3,1,9,4,3,4,2,2,3,3,1,1,0,1
5251,2,1,2,6,4,3,1,3,4,2,3,3,4,2,1,1,1
5252,2,4,2,9,1,1,3,3,2,1,3,3,2,2,1,2,1
5255,2,5,2,1,1,3,9,3,3,1,3,3,2,3,1,2,1
5258,2,4,2,1,1,3,1,2,1,2,3,2,3,1,2,1,1
5259,1,2,1,3,3,1,6,3,3,1,3,4,4,4,1,1,1
5260,1,0,1,8,3,4,6,3,2,2,2,2,1,3,1,0,1
5261,1,4,1,2,1,4,5,2,2,2,2,3,3,2,2,2,1
5263,1,4,1,9,1,4,1,3,3,1,3,4,2,3,1,2,4
5268,1,0,1,9,6,1,6,4,4,2,2,4,3,3,1,1,1
5269,1,1,5,1,5,6,4,3,2,1,3,4,3,3,1,2,2
5270,1,5,8,1,1,1,4,3,2,1,4,3,3,2,1,0,1
5275,2,2,3,6,2,9,4,3,3,2,3,3,2,1,1,1,2
5276,2,5,1,6,1,1,4,3,1,2,2,3,3,2,1,1,2
5277,2,3,2,3,1,1,3,3,3,1,3,3,3,2,1,1,2
5278,2,4,6,3,1,1,6,3,4,2,2,4,3,1,1,1,1
5279,2,1,2,3,4,1,3,3,4,1,3,4,3,2,1,2,1
5283,1,3,2,9,1,4,8,3,3,2,3,3,2,1,1,1,3
5284,1,0,2,1,1,9,3,2,2,2,2,5,2,1,2,1,3
5285,1,1,9,3,2,5,4,3,3,1,2,3,2,1,1,1,2
5286,2,4,3,1,3,4,5,2,2,1,2,2,3,1,1,1,1
5288,2,2,2,8,1,1,5,3,4,1,3,2,3,2,1,1,1
5289,1,5,2,6,1,1,3,2,3,2,3,3,3,2,1,0,2
5291,2,0,1,2,3,3,5,3,3,1,3,3,3,1,1,1,1
5293,1,1,1,5,1,1,4,3,3,2,3,3,3,3,1,2,1
5296,1,4,1,8,1,3,6,3,3,2,2,3,3,3,1,1,1
5298,1,1,1,8,1,4,6,2,2,1,2,3,2,2,1,0,1
5302,1,4,2,1,1,1,4,3,4,1,3,3,3,2,1,1,1
5303,1,0,1,7,1,4,5,2,3,1,3,3,1,2,1,0,3
5305,2,4,2,1,1,9,6,3,3,2,3,5,3,1,1,0,1
5307,2,1,1,8,1,4,3,2,2,1,3,2,3,2,1,2,1
5308,1,4,3,8,2,5,4,3,3,2,2,2,2,2,2,2,1
5313,1,1,1,3,1,4,9,3,3,2,3,3,3,2,1,2,2
5316,2,4,3,2,2,9,6,2,3,2,2,3,1,3,1,2,2
5317,1,5,8,1,2,4,5,3,3,1,3,2,3,1,1,1,4
5318,2,1,2,3,1,1,2,3,3,2,3,3,4,3,1,1,1
5322,1,5,2,1,3,3,4,2,2,2,3,3,3,1,1,1,1
5323,1,1,1,3,1,4,1,3,3,1,3,3,3,2,1,1,1
5324,1,4,2,1,1,1,5,3,2,1,3,3,3,2,1,1,2
5326,1,4,8,1,3,1,3,3,2,1,2,2,1,2,1,2,3
5329,1,4,1,3,1,3,4,4,4,2,2,2,2,4,1,0,4
5330,2,4,6,10,4,3,5,3,3,1,3,3,2,1,1,1,1
5331,1,4,1,2,1,4,1,3,3,2,3,3,2,1,1,1,3
5332,1,3,1,4,3,1,5,3,3,2,2,3,2,3,1,1,3
5335,2,0,4,1,1,1,4,3,3,1,3,2,3,2,1,1,1
5338,2,4,1,2,4,9,3,3,3,2,3,2,3,1,1,1,1
5339,2,4,2,1,1,3,1,3,1,2,2,3,2,2,1,1,3
5341,2,4,2,8,1,5,3,2,2,1,2,2,2,2,1,1,2
5342,1,5,1,6,8,1,4,3,3,2,3,3,2,3,1,1,1
5346,2,3,2,5,1,1,5,3,3,1,3,2,3,3,1,1,1
5348,2,0,1,9,1,4,9,2,2,1,2,2,3,3,1,1,3
5349,2,2,2,3,1,1,4,2,2,2,4,2,2,3,1,2,1
5354,1,5,1,2,1,2,3,3,3,1,2,4,3,1,2,0,2
5355,2,0,1,2,2,6,5,4,5,1,3,5,3,1,1,1,1
5356,2,4,2,3,1,5,3,3,5,2,4,2,2,3,1,2,1
5357,2,3,3,2,3,3,1,3,2,1,4,2,3,2,1,1,1
5358,1,1,8,1,3,3,4,2,2,1,2,3,2,3,1,2,1
5360,1,1,1,3,1,1,4,3,3,1,3,3,2,1,1,1,4
5361,1,5,1,2,1,1,3,3,4,1,3,3,3,2,1,1,4
5362,2,0,1,2,1,5,6,2,3,2,3,2,2,1,1,1,1
5363,2,5,4,6,1,2,9,3,2,1,3,4,2,2,1,2,4
5364,2,4,2,1,1,9,6,3,4,1,2,3,2,3,1,0,1
5367,2,4,6,1,1,5,3,3,2,2,4,4,3,4,1,2,3
5369,2,1,2,6,8,4,1,3,3,2,3,2,3,2,1,1,3
5372,2,1,2,9,1,4,1,3,2,1,3,3,3,1,1,1,2
5374,2,4,4,2,1,1,2,3,3,1,2,3,2,2,1,0,1
5376,2,0,8,10,9,5,1,3,3,2,3,2,2,2,1,1,1
5378,1,4,2,1,1,1,3,3,3,1,2,3,3,3,1,2,1
5382,1,1,6,2,2,4,1,3,4,1,2,2,3,2,1,1,1
5383,1,3,8,1,6,4,1,2,3,1,2,3,1,2,1,2,1
5384,1,4,1,7,3,1,4,2,1,2,2,2,2,1,1,1,1
5386,1,4,2,3,1,3,1,3,2,1,1,4,3,2,1,1,1
5391,1,0,2,3,1,4,1,3,3,1,3,3,3,3,1,1,4
5392,2,1,1,3,1,9,1,3,3,1,2,3,1,1,1,0,3
5396,1,4,2,1,1,4,3,2,2,2,2,3,3,1,1,1,4
5401,1,1,1,2,1,4,3,3,3,1,4,1,2,3,1,2,4
5404,1,0,3,2,2,3,4,2,2,1,3,2,2,1,2,1,4
5408,2,1,2,6,1,3,1,3,3,1,2,3,3,1,1,0,1
5409,2,1,3,8,1,5,1,3,4,1,3,2,4,1,1,1,1
5410,2,1,3,1,2,6,1,3,4,2,3,2,3,2,1,1,1
5412,2,4,2,1,1,2,1,2,2,2,3,2,3,2,1,1,1
5413,2,1,8,1,3,3,2,3,2,2,4,3,2,3,1,2,1
5414,2,3,6,3,1,5,9,3,4,1,3,4,3,2,1,0,1
5417,1,1,1,2,2,9,4,4,4,1,2,3,3,3,1,2,4
5420,2,1,2,5,1,4,3,3,2,1,3,3,2,2,1,2,4
5428,2,4,1,3,1,1,3,2,2,2,4,3,3,1,1,1,1
5429,1,3,1,10,1,6,1,3,3,2,2,3,2,4,1,2,2
5431,1,4,2,8,1,1,3,2,1,2,3,2,3,2,1,1,4
5434,1,4,8,3,3,1,6,3,3,2,2,2,3,1,1,1,2
5435,1,4,1,3,1,4,6,2,3,2,2,2,1,2,1,2,4
5437,1,4,2,1,1,1,6,3,3,1,3,3,1,3,1,2,2
5439,1,0,1,2,1,4,6,3,3,1,2,3,2,3,1,1,1
5441,1,4,1,9,2,1,3,3,4,2,3,3,2,3,1,2,1
5442,2,0,2,6,1,5,4,2,1,2,2,3,3,1,2,1,4
5444,1,4,3,8,2,9,5,3,4,2,4,3,2,2,1,0,4
5449,1,4,1,3,9,3,1,3,3,2,3,3,3,4,1,1,2
5450,1,5,1,3,1,5,6,3,2,1,2,4,2,1,1,0,4
5452,1,4,3,1,1,4,9,3,4,2,2,3,4,2,1,2,3
5456,1,3,5,10,1,1,4,3,2,1,3,2,3,4,1,2,4
5461,1,0,1,8,1,5,4,3,5,2,2,1,1,1,1,0,3
5466,1,1,1,3,2,1,4,4,4,1,2,4,2,3,1,0,4
5467,1,4,2,9,1,4,3,3,3,1,3,3,2,3,1,2,1
5469,1,1,6,9,2,1,7,3,3,1,2,4,4,4,1,1,3
5477,1,4,2,3,8,5,4,3,3,2,3,2,3,1,1,1,2
5478,1,4,1,2,1,4,1,3,3,1,3,4,3,3,1,0,3
5481,2,5,3,1,2,5,1,3,4,1,3,1,2,1,2,1,1
5483,2,0,1,7,1,5,3,3,3,1,3,3,2,2,1,1,4
5484,2,4,6,2,1,4,1,2,2,1,3,3,3,3,1,2,3
5485,2,3,1,6,1,5,1,4,3,2,3,3,3,4,1,0,1
5491,2,4,1,7,3,6,1,3,3,1,2,3,3,2,1,0,2
5493,2,1,2,8,2,3,1,2,2,2,2,3,2,2,1,1,1
5494,2,1,2,1,1,1,6,3,2,2,4,2,3,3,1,1,4
5495,1,4,2,6,1,4,1,3,3,1,3,3,3,3,1,2,1
5498,2,0,1,3,1,6,1,2,2,2,3,2,2,3,1,2,1
5500,1,1,2,3,6,1,5,4,4,1,2,4,4,1,1,1,3
5501,2,4,2,1,1,2,9,2,3,2,3,3,2,2,1,1,2
5503,1,5,10,1,1,3,5,3,3,1,3,4,2,4,1,2,1
5505,1,1,8,2,1,4,1,3,3,2,3,3,2,5,1,2,4
5506,2,4,1,2,1,3,1,3,2,1,4,3,2,2,1,1,1
5507,1,0,1,2,1,3,4,3,4,2,5,3,3,4,1,2,4
5508,1,4,1,3,1,9,6,3,3,2,2,3,2,2,1,2,1
5511,1,1,1,10,1,1,4,4,4,1,2,4,2,4,1,2,1
5512,2,4,2,1,1,3,1,2,1,1,2,3,2,4,1,1,1
5513,1,4,8,6,2,4,3,2,2,1,2,2,2,2,1,2,4
5514,1,5,2,3,1,3,1,4,4,1,4,4,2,4,1,2,4
5517,1,3,1,7,1,3,6,3,2,2,3,2,3,1,1,1,2
5523,1,4,3,1,1,3,4,3,3,1,3,2,2,2,2,0,4
5525,1,1,1,3,2,1,5,3,3,2,3,3,3,3,1,2,4
5529,1,0,6,8,1,1,4,3,2,2,3,3,3,2,1,1,4
5533,1,4,2,1,1,1,3,3,3,2,3,3,2,4,1,2,1
5535,2,4,2,8,1,1,9,2,2,1,2,2,3,2,1,1,1
5536,1,1,2,3,1,4,1,3,2,1,3,3,2,3,1,2,3
5538,1,5,1,3,1,4,1,3,3,2,4,3,2,4,1,0,1
5540,1,4,3,1,1,5,4,3,4,1,3,3,3,1,1,1,1
5542,1,3,8,2,1,1,5,3,4,1,3,4,2,3,2,2,2
5545,1,5,2,1,1,4,1,3,2,2,3,3,2,3,1,2,4
5547,1,1,1,9,1,4,6,3,3,1,3,3,4,1,1,1,1
5550,1,4,9,1,8,4,1,3,3,2,3,2,3,3,1,2,3
5552,2,1,2,9,1,1,3,3,2,1,2,3,2,4,1,2,1
5555,2,1,3,2,1,3,1,3,2,2,3,4,3,1,1,1,1
