BYSID,BYHID,GENDER,BYSCLASS,F1C01001C,F1C01002C,F1C01004,F1C01005,F1C01007,F1C01008,F1C01009,F1C01010,F1C01011,F1C01012,F1C01013,F1C01014,F1C01015,F1C01016,F1C01017,F1C01018,F1C01019,F1C01020,F1C01021,F1C01022,F1C01023,F1C01024,F1C01025,F1C01026,F1C01027,F1C01028,F1C01029,F1C01030,F1C01031,F1C01032,F1C01033,F1C01034,F1C01035,F1C01036,F1C01037,F1C01038,F1C01039,F1C01040,F1C01041,F1C01042,F1C01043,F1C01044,F1C01045,F1C01046,F1C01047,F1C01048,F1C01049,F1C01050C,F1C01051,F1C01052C,F1C01053,F1C01054,F1C02001,F1C02002,F1C02003,F1C02004,F1C02005,F1C02006,F1C02007,F1C02008,F1C02009,F1C02010,F1C02011,F1C02012,F1C02013,F1C02014,F1C02015,F1C02016,F1C02017,F1C02018,F1C02019,F1C02020,F1C02021,F1C02022,F1C02023,F1C02024,F1C02025,F1C02026,F1C02027,F1C02028,F1C02029,F1C02030,F1C02031,F1C02032,F1C02033,F1C02034,F1C02035,F1C02036,F1C02037,F1C02038,F1C02039,F1C02040,F1C02041,F1C02042,F1C02043,F1C02044,F1C02045,F1C02046,F1C02047,F1C02048,F1C02049,F1C02050,F1C02051,F1C02052,F1C02053,F1C02054,F1C02055,F1C02056,F1C02057,F1C02058,F1C02059,F1C02060,F1C02061,F1C02062,F1C02063,F1C02078,F1C02079,F1C02080,F1C02081,F1C02082C,F1C02083,F1C02084C,F1C02085,F1C02086,F1C02087,F1C02088,F1C02089C,F1C02090,F1C02091C,F1C02092,F1C02113,F1C03001,F1C03002,F1C03003,F1C03004,F1C03005,F1C03006,F1C03007,F1C03008,F1C03009,F1C03010,F1C03011,F1C03012,F1C03013,F1C03014,F1C03015,F1C03016,F1C03017,F1C03018,F1C03019,F1C03020,F1C03021,F1C03022,F1C03023,F1C03024,F1C03025,F1C03026,F1C03027,F1C03028,F1C03029,F1C03030,F1C03031,F1C03032,F1C03033,F1C03034,F1C04001,F1C04002,F1C04003,F1C04004,F1C04005,F1C04006,F1C04007,F1C04008,F1C04009,F1C04010,F1C04011,F1C04012,F1C04013,F1C04014,F1C04015,F1C04016,F1C04017,F1C04018,F1C04019,F1C04020,F1C04021,F1C04022,F1C04023,F1C04024,F1C04025,F1C04026,F1C04027,F1C04028,F1C04029,F1C04030,F1C04031,F1C04032,F1C04033,F1C04034,F1C05001,F1C05002,F1C05003C,F1C05004,F1C05005,F1C05006,F1C05007,F1C05008,F1C05010,F1C05011,F1C05012,F1C06001,F1C06002C,F1C06003,F1C06004,F1C06005,F1C06006,F1C06007,F1C06008,F1C06009,F1C06010,F1C06011,F1C06012,F1C06017,F1C07001,F1C07002,F1C07003,F1C07004,F1C07005,F1C07006,F1C07007,F1C07008,F1C07009,F1C07010,F1C07011,F1C07012,F1C07013,F1C07014,F1C07015,F1C07016,F1C07017,F1C07018,F1C07019,F1C07020,F1C07021,F1C07022,F1C07023,F1C07024,F1C07025,F1C07026,F1C07027,F1C07028,F1C07029,F1C07030,F1C07031,F1C07032,F1C07033,F1C07034,F1C07035,F1C07036,F1C07037,F1C07038,F1C07039,F1C07040,F1C07041,F1C08001,F1C08002,F1C08003,F1C08004,F1C08005C,F1C08006C,F1C08007,F1C08008,F1C08009,F1C08010,F1C08011,F1C08012,F1C08013,F1C08014,F1C08015,F1C08016,F1C09001,F1C09002,F1C09003,F1C09004,F1C09005,F1C09006,F1C09007,F1C09008,F1C09009,F1C09010,F1C09011,F1C09012,F1C09013,F1C09014,F1C09015,F1C09016,F1C09017,F1C09018,F1C09019,F1C09020,F1C09021,F1C09022
4283,42831,1,2,21120402,401,1,1,2,1,1,4,2,4,3,3,1,4,2,3,3,3,2,2,4,3,1,5,3,2,3,4,2,2,0,3,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,7,-5,-5,-5,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,-5,30,1,4,4,2,2,2,4,4,2,3,2,1,3,5,3,3,2,1,3,4,100000,6,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,5,15,4,5,2,8,2,5,1,1,5,1,1,2,1,1,2,2,3,4,1,1,2,1,2,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,1,5,0,30000,1,5,0,0,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0853,4,4,1,9,5,-5,2,-5,2,-5,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,-5,-5,751,1490,2,30,12,1,1000000,2,1,4,4,3,4,5,7,1,2,1,2,2,2,3,1,2,1,1,3,2,-5,2,-5,5,177,73
4284,42841,1,2,24121502,203,1,1,1,2,1,8,5,3,3,1,1,8,3,4,1,5,1,2,5,3,1,3,5,3,3,3,3,5,1,3,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,1,1,-5,30,1,3,4,3,1,3,2,3,4,2,1,1,3,2,4,1,1,1,4,1,1,-5,60,1,4,5,3,2,4,4,4,4,2,1,1,4,4,4,1,1,1,4,4,200000,7,4,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,8,10,4,2,5,4,2,4,1,1,1,1,1,3,3,1,2,2,4,3,2,1,1,1,1,1,1,2,1,12,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,1,12,1,3,0,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,1300000,0507,4,1000000,20,3,4,7,3,9,1,1264,4,3,1,4,1,-5,2,-5,2,-5,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,-5,-5,331,1970,2,31,8,1,1200000,1,3,5,5,5,5,20,6,2,2,2,-5,2,2,1,1,1,1,1,2,2,-5,1,10,4,178,67
4286,42861,1,2,14421501,405,3,1,1,1,3,1,6,4,3,3,3,1,6,4,4,4,4,3,4,3,2,18,3,4,4,5,1,2,0,3,1,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,4,2,2,1,0,1,2,5,2,2,2,3,2,2,2,1,3,2,2,3,5,2,1,3,2,2,1,0,2,2,3,2,1,1,3,2,3,2,1,1,3,2,3,3,2,1,3,3,100000,2,1,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,3,8,3,7,6,2,0,0,1,4,4,3,4,4,4,1,1,2,4,1,1,1,15,7,1,3,6,9,1,1,5,2,-5,-5,1,6,0,0,2,-5,-5,-5,1,4,0,0,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,4,1,3,1,3,1,1,2,-5,-5,1,6,1,1,6,1,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,400000,3,1,1,4,1,4,2,-5,2,-5,2,-5,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,6,8,2,2,2,-5,3,3,3,2,1,1,1,1,2,-5,2,-5,1,172,68
4287,42871,1,2,14820301,408,3,1,1,1,3,1,2,4,4,3,1,3,2,7,4,5,3,2,3,3,2,4,4,4,4,3,3,3,2,4,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,1,1,-5,10,1,4,4,3,3,2,3,4,3,3,2,1,4,4,3,3,2,1,4,1,1,-5,10,1,4,4,4,3,2,4,4,3,3,2,1,4,4,3,3,3,1,4,4,60000,9,2,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,4,10,2,1,13,1,1,3,1,2,5,3,3,2,2,2,2,4,4,4,1,1,1,7,1,1,2,9,2,12,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,4,2,-5,2,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,3,8,2,2,2,-5,2,2,2,2,2,2,2,2,2,-5,2,-5,2,170,70
4290,42901,1,2,22320108,701,1,1,1,1,7,1,6,2,3,2,2,1,3,2,4,3,2,2,2,2,1,0,4,3,3,3,2,2,1,3,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,4,7,-5,-5,-5,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,4,10,1,2,3,2,4,2,3,2,2,4,3,3,3,2,3,3,4,2,3,2,450000,2,8,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,6,12,2,8,10,2,1,2,1,3,4,3,4,2,1,1,1,2,1,2,1,1,2,1,2,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,1000000,0602,2,450000,12,7,1,4,3,1,1,0853,3,3,1,8,4,-5,2,-5,2,-5,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,1,2,289,1581,2,2,8,2,-5,1,3,3,3,3,2,2,6,3,2,1,2,3,2,3,3,4,2,3,3,1,5,1,20,5,178,65
4292,42921,2,2,24720602,302,2,1,1,2,2,1,2,6,3,2,2,1,2,1,3,4,4,3,4,4,2,5,4,4,4,4,2,4,2,3,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,1,1,-5,5,1,4,3,2,2,2,3,4,4,2,2,1,4,4,4,3,2,1,3,1,1,-5,30,1,4,4,2,2,2,4,4,4,2,2,1,4,4,4,2,2,1,4,3,150000,1,2,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,4,7,2,1,2,1,2,3,1,5,3,2,4,3,1,1,1,2,1,3,1,1,1,6,1,1,5,4,1,12,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,350000,0201,2,350000,5,35,1,4,3,7,1,0453,4,4,1,9,4,-5,2,-5,2,-5,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,0,6,1,2,2,-5,2,2,3,1,1,1,1,2,2,-5,2,-5,1,154,42
4293,42931,2,2,14220401,503,3,1,1,1,1,3,3,4,3,2,1,3,2,3,4,5,3,3,5,4,2,3,3,3,2,2,4,2,1,3,1,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,1,1,1,-5,30,1,2,3,2,3,2,3,3,4,3,2,2,3,3,3,3,2,1,3,4,2,6,0,2,4,4,3,2,2,3,4,4,4,2,1,4,3,3,3,3,1,3,3,50000,7,6,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,5,5,1,6,6,1,3,3,1,2,2,1,1,3,3,3,1,2,4,3,1,1,2,1,1,1,4,4,1,12,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,1,2,0,0,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0422,3,1,1,4,5,-5,2,-5,2,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,0,6,2,2,2,-5,2,2,2,2,-4,2,2,2,2,-5,2,-5,3,153,42
4294,42941,1,2,24220202,405,1,1,2,1,3,1,4,8,2,2,3,1,3,6,2,4,2,2,4,2,2,2,4,2,2,2,2,2,0,4,4,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,3,1,2,2,0,1,2,2,2,2,2,4,2,4,4,2,2,4,2,2,2,2,1,2,7,-5,-5,-5,2,2,2,2,2,2,4,2,4,2,2,1,4,1,2,1,1,1,2,2,200000,2,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,4,7,2,12,14,12,.5,2,1,3,1,1,4,2,1,1,2,4,4,4,1,1,2,1,2,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,700000,0414,3,700000,8,7,4,4,2,8,2,-5,-5,-5,-5,-5,-5,1,2,-5,2,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,6,2,999,1583,3,30,8,2,-5,2,4,4,4,4,4,0,8,2,2,1,2,1,2,3,3,1,1,2,2,2,-5,2,-5,4,173,54
4295,42951,2,2,21121102,203,2,1,2,2,1,2,3,4,4,1,1,2,3,4,3,3,1,1,4,4,1,1,4,4,2,3,3,4,1,4,1,1,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,1,1,-5,30,1,4,4,3,3,1,5,4,3,3,1,2,5,4,4,2,2,1,5,3,1,-5,60,1,4,4,4,3,2,4,4,3,4,2,1,3,3,3,2,2,2,4,4,400000,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,3001,5,6,24120802,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,2,16,16,10,2,10,8,1,1,1,1,1,4,4,2,2,1,2,3,4,1,1,1,1,1,2,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,3500000,0401,4,3500000,11,6,4,4,4,9,2,-5,-5,-5,-5,-5,-5,2,2,-5,2,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,-5,-5,524,1032,1,90,10,1,900000,1,4,4,4,4,5,0,7,3,2,2,-5,2,2,4,2,1,1,2,3,2,-5,1,10,3,165,43
4297,42971,1,2,24721002,203,2,1,2,1,1,-4,2,-4,2,2,1,7,3,7,2,3,3,3,3,4,2,5,4,4,2,3,4,3,2,2,1,2,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,1,2,3,29,1,4,3,3,2,2,4,4,3,4,2,1,4,4,4,2,1,1,4,1,1,-5,29,1,4,4,2,1,1,3,4,4,2,2,1,4,4,4,2,1,1,4,4,500000,2,-4,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,3,10,1,2,1,2,5,5,1,3,3,2,1,1,1,1,4,4,2,2,2,2,-5,-5,2,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,1000000,0400,3,-6,10,7,5,4,1,2,1,0451,3,4,1,3,1,-5,2,-5,2,-5,1,1,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,0,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,-5,-5,999,1032,2,90,10,1,2000000,1,4,4,4,4,5,5,10,2,1,2,-5,1,1,3,1,1,1,1,1,2,-5,2,-5,1,178,70
4298,42981,1,2,22310102,405,1,2,1,1,1,3,1,3,2,1,3,4,3,8,1,4,1,1,2,2,1,0,4,2,3,2,5,3,1,2,1,2,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,-5,1,1,1,-5,60,1,3,3,3,2,2,5,3,3,4,2,1,5,3,4,3,3,1,5,1,1,-5,60,1,3,3,3,2,2,5,3,3,4,2,1,5,3,4,3,3,1,4,4,300000,3,9,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,5,8,2,10,2,10,1,2,1,6,4,4,4,1,3,1,2,2,4,4,2,1,-6,3,2,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,0,0412,1,0,8,7,4,4,4,9,2,-5,-5,-5,-5,-5,-5,6,2,-5,2,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,7,8,2,2,2,-5,2,2,1,1,1,1,2,2,2,-5,2,-5,3,170,63
4300,43001,1,2,11120701,201,3,1,1,2,1,3,3,2,5,3,1,3,3,2,5,5,2,2,4,2,1,10,4,5,4,4,1,1,0,5,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,3,1,2,1,0,1,3,3,3,1,2,4,3,4,3,2,1,3,3,4,1,2,1,4,1,2,1,0,1,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,2,1,3,5,400000,2,8,1,1,3011,2,2,-5,2,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,7,11,4,7,5,8,1.5,1.5,1,1,1,1,4,2,1,1,1,4,3,2,2,1,2,1,1,1,10,9,1,12,-5,2,-5,-5,1,3,0,0,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,200000,0201,1,80000,6,2,1,4,3,1,2,-5,-5,-5,-5,-5,-5,2,1,3,1,3,1,1,1,3,2,2,-5,-5,1,4,2,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,500000,5,1,1,6,2,-5,1,6,1,6,2,-5,3,2,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,7,8,3,2,1,2,2,3,2,2,2,2,2,2,2,-5,2,-5,5,183,75
4301,43011,1,2,21120402,405,1,1,2,1,1,2,9,1,3,3,1,2,1,4,3,5,3,2,5,4,2,20,4,4,4,4,2,2,1,3,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,1,1,-5,60,3,2,2,3,4,2,4,2,2,4,2,2,3,2,4,2,4,1,4,1,1,-5,60,1,2,2,3,4,2,3,2,4,2,2,3,4,2,4,2,4,1,4,3,50000,2,10,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,4,10,1,12,1,12,3,8,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,1,0,0,10000,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,5,10,4,1,500000,0602,-4,500000,11,6,4,5,1,10,1,1970,2,3,4,1,2,-5,2,-5,2,-5,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,1,9,2,2,2,-5,3,1,2,2,1,1,2,1,2,-5,1,5,4,178,59
4303,43031,1,2,24122902,401,1,1,1,1,7,1,3,6,3,1,1,7,3,1,3,3,2,3,2,4,1,2,4,4,3,2,3,4,0,2,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,1,1,-5,10,1,2,3,2,2,2,2,2,3,3,2,2,3,2,3,4,2,1,4,1,2,5,10,1,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,1,3,2,150000,2,9,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,6,12,13,2,5,1,2,4,1,3,5,2,4,2,1,1,1,2,2,3,1,2,-5,-5,1,1,2,9,2,12,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,1,5,0,100000,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,1,2,-5,2,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,5,6,3,2,2,-5,3,3,3,2,2,1,2,2,2,-5,1,10,3,170,55
4305,43051,1,2,14220601,203,3,1,1,1,1,3,2,3,5,2,1,3,2,3,5,5,2,2,5,3,1,.17,5,2,4,2,2,2,1,4,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,1,1,-5,80,1,4,4,2,2,2,4,4,4,2,2,3,4,4,3,2,2,3,4,1,1,-5,80,1,4,4,2,4,2,3,4,4,2,2,2,4,4,4,2,2,1,4,5,200000,3,2,1,1,3011,2,2,-5,2,-5,-5,-5,-5,-5,1,3011,3,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,2,5,10,4,2,2,1,4,4,1,2,5,2,4,3,1,1,2,2,4,2,1,1,5,7,1,1,5,2,1,12,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,500000,0402,2,500000,9,5,1,4,3,10,1,0531,2,3,1,9,5,-5,2,-5,2,-5,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,-5,-5,463,1463,4,45,8,1,1700000,1,4,4,4,4,4,4,7,2,2,2,-5,2,2,1,1,1,1,2,1,2,-5,2,-5,4,170,62
4306,43061,1,2,22221002,201,1,1,2,1,3,7,3,4,3,2,1,3,3,4,4,4,3,2,4,3,2,5,3,4,3,2,2,3,1,2,1,2,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-5,1,7,-5,-5,-5,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,1,-5,10,1,4,4,2,2,4,3,4,2,2,2,2,3,4,2,2,2,2,4,3,50000,7,2,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,4,13,1,2,1,2,2,2,1,1,1,2,1,3,1,1,1,2,1,2,1,1,3,7,2,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,1,12,2,2,0,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0215,3,2,1,4,4,-5,2,-5,2,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,-5,-5,410,1490,1,60,7,1,900000,1,3,4,4,2,4,4,6,1,1,2,-5,3,2,3,1,1,2,3,2,2,-5,2,-5,3,176,85
