BYSID,BYHID,BYAID,BYTID,GENDER,BYSCLASS,BYS01002,BYS01003,BYS01005,BYS01006C,BYS01008,BYS02001,BYS02002,BYS02003,BYS02004,BYS02005,BYS02006,BYS02007,BYS02008,BYS02009,BYS02010,BYS02011,BYS02012,BYS02013,BYS03001,BYS03002,BYS03003,BYS03004,BYS04001,BYS04002,BYS04003,BYS04004,BYS04005,BYS04006,BYS04007,BYS04008,BYS04009,BYS04010,BYS04011,BYS04012,BYS05001,BYS05002C,BYS05003,BYS05004C,BYS05005C,BYS05006,BYS05007C,BYS06001,BYS06002,BYS06003,BYS06004,BYS06005,BYS07001,BYS07002,BYS07003,BYS07004,BYS07005,BYS07006,BYS07007,BYS07008,BYS07009,BYS07010,BYS07011,BYS07012,BYS07013,BYS07014,BYS07015,BYS07016,BYS07017,BYS07018,BYS07019,BYS07020,BYS07021,BYS07022,BYS07023,BYS07024,BYS07025,BYS07026,BYS07027,BYS07028,BYS07029,BYS08001,BYS08002,BYS08003,BYS08004,BYS08005,BYS08006,BYS08007,BYS08008,BYS09001,BYS09002,BYS09003,BYS09004,BYS10001,BYS10002,BYS10003,BYS10004,BYS10005,BYS10006,BYS10007,BYS10008,BYS10009,BYS10010,BYS10011,BYS10012,BYS10013,BYS10014,BYS10015,BYS11001,BYS11002,BYS11003,BYS11004,BYS11005,BYS11006,BYS11007,BYS11008,BYS11009,BYS11010,BYS11011,BYS11012,BYS11013,BYS11014,BYS11015,BYS11016,BYS11017,BYS11018,BYS12001,BYS12002,BYS12003,BYS12004,BYS12005,BYS12006,BYS12007,BYS12008,BYS12009,BYS12010,BYS12011,BYS12012,BYS12013,BYS12014,BYS12015,BYS12016,BYS12017,BYS12018,BYS12019,BYS12020,BYS12021,BYS12022,BYS12023,BYS12024,BYS12025,BYS13001,BYS14001,BYS14002,BYS14013,BYS14014,BYS14025,BYS14026,BYS14027C,BYS14027C1,BYS14028,BYS15001,BYS15002C,BYS15003,BYS15004,BYS15005,BYS15006,BYS15007,BYS15008,BYS15009,BYS15010,BYS15011,BYS16001,BYS16002,BYS17001,BYS17002,BYS17003,BYS17004C,BYS17005,BYS17006,BYS17007,BYS17008,BYS17009C,BYS17010,BYS17011,BYS18001,BYS18002,BYS18003C,BYS18004,BYS18005,BYS18006,BYS18007,BYS18008,BYS18009,BYS18010,BYS19001,BYS20001,BYS20002,BYS20003,BYS20004,BYS20007,BYS20008,BYS20009,BYS20010,BYS20011,BYS20012,BYS20013,BYS20014,BYS20015,BYS20016,BYS20017,BYS20018,BYS20019,BYS20020,BYS20021,BYS20022,BYS21001,BYS21002,BYS21003,BYS21004,BYS21005,BYS21006,BYS21007,BYS21008,BYS21009,BYS21010,BYS21011,BYS21012,BYS21013,BYS22001,BYS22002,BYS22003,BYS22004,BYS22005,BYS22006,BYS22007,BYS22008,BYS22009,BYS22010,BYS22011,BYS22012,BYS22013,BYS22014,BYS22015,BYS22016,BYS22017,BYS23001,BYS23002,BYS23003,BYS23004,BYS24001,BYS24002,BYS24003,BYS24004,BYS24005,BYS25001,BYS25002,BYS25003,BYS26001,BYS26002,BYS26003,BYS26004,BYS26005,BYS26006,BYS26007,BYS26008,BYS26009,BYS26010,BYS27001,BYS27002,BYS27003,BYS27004,BYS27006,BYS27007,BYS27008,BYS27009,BYS27010,BYS27011,BYS27012,BYS27013,BYS27020,BYS29001,BYS29002,BYS29003,BYS29004,BYS29005,BYS29006,BYS29007,BYS29008,BYS29009,BYS29010,BYS29011,BYS29012,BYS29013,BYS29014,BYS29015,BYS29016,BYS29017,BYS29018,BYS29019,BYS29020,BYS29021,BYS29022,BYS30001,BYS30002,BYS30003,BYS30004,BYS30005,BYS30006,BYS32001,BYS32002,BYS32003,BYS32004,BYS32005,BYS32006,BYS32007,BYS32008,BYS32009,BYS32010,BYS32011,BYS32012,BYS32013,BYS32014,BYS32015,BYS32016,BYS32017,BYS32018,BYS32019,BYS32020,BYS32021,BYS32022,BYS32023,BYS32024,BYS32025,BYS32026,BYS32027,BYS32028,BYS32029,BYS32030,BYS32031,BYS32032,BYS32033,BYS32034,BYS32035,BYS32036,BYS32037,BYS32038,BYS32039,BYS32040,BYS32041,BYS32042,BYS32043,BYS32044,BYS32045,BYS32046,BYS32047,BYS32048,BYS32049,BYS32050,BYS32051,BYS32052,BYS32053,BYS32054,BYS32055,BYS32056,BYS32057,BYS32058
3524,35241,264,2643,1,2,4,1,2,4146,3,3,4,3,1,3,3,4,4,2,4,3,2,4,1,2,2,1,4,3,4,4,3,4,4,4,1,2,-5,-5,2,-5,2,-5,-5,2,-5,2,-5,-5,2,-5,3,3,1,-5,-5,6,-5,-5,-5,-5,-5,-5,-5,1,4,4,3,4,4,1,4,1,4,4,4,3,1,3,4,2,1,4,6,1,13,2,14,2,1,4,3,3,2,4,3,4,2,3,3,2,1,1,1,1,4,1,4,4,2,3,4,3,2,2,5,5,4,3,4,4,4,4,2,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,4,3,2,-5,2,-5,1,1,210408-1,A03080-13,10,1,232,4,3,1,2,1,4,1,3,-5,3,1,2,1,1,50204,4,3,3,1,14110104,4,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,2,-5,2,-5,2,-5,1,3,2,-5,1,3,1,1,1,1,7,11,1,1,2,2,2,5,7,1,2500,5,1,4,7,1,9,4,3,3,4,2,4,4,1,2,3,4,4,4,4,3,3,1,4,2,1,2,169,59,2,4,7,1,2,3,3,1,1,1,1,2,2,-5,2,-5,1,2,2,-5,-5,-5,1,0,2,-5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,2,1,2,4,4,4,5,2,4,4,1,23.5,-3,0700008,0120001,0220012,0101001,0910046,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0910029,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3525,35251,246,2462,1,2,2,1,2,4025,1,5,3,4,1,3,2,5,5,1,5,5,1,5,1,1,1,1,3,3,3,4,2,5,5,4,3,2,-5,-5,1,27,2,-5,-5,2,-5,2,-5,-5,2,-5,4,3,1,-5,-5,3,3,2,2,1,2,4,3,1,5,5,5,5,4,1,5,1,2,-5,3,1,1,1,1,2,3,6,6,2,4,2,8,1,1,1,2,3,3,5,2,6,2,4,1,2,4,2,1,1,4,1,5,4,3,3,3,3,3,2,4,3,5,4,2,2,5,4,4,4,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,5,1,2,-5,2,-5,1,1,210408-1,A03080-13,12,1,141,3,3,1,3,1,9,2,3,-5,2,1,1,2,1,40801,4,3,4,1,24121102,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,4,1,3,2,-5,2,-5,1,4,2,-5,2,-5,2,1,1,1,12,11,1,1,16,1,2,10,7,4,1000000,2,3,4,8,2,1,3,3,3,4,2,4,3,1,2,4,4,4,4,3,3,1,1,2,2,1,7,173,65,1,4,7,1,1,2,2,1,2,1,1,1,2,-5,2,-5,1,2,2,-5,-5,-5,0,0,2,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,2,4,3,4,3,4,5,0,38.9,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0101001,0200001,1040080,0500024,0530001,0750001,0300003,0910260,0910045,0910030,0910078,-4,-4,-4,-4,0700008,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3526,35261,289,2894,1,2,4,1,2,4152,2,4,4,4,2,3,3,3,4,3,3,3,3,4,1,2,1,1,3,2,2,3,2,3,4,4,6,2,-5,-5,1,21,1,-4,25,1,101,2,-5,-5,2,-5,3,1,1,-5,-5,1,3,3,3,2,2,2,3,1,4,4,4,4,4,3,3,1,3,4,4,1,1,3,3,4,2,4,6,1,13,14,-5,1,1,4,3,5,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,2,3,4,2,2,2,2,2,2,4,2,3,3,3,2,3,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,1,1,15,2,-5,-5,2,1,2,-5,2,-5,1,1,210402-1,A03060-15,12,1,084,3,3,1,2,1,4,1,3,-5,2,1,2,2,2,-5,-5,-5,-5,1,24121402,4,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,2,-5,1,4,1,3,2,-5,2,-5,2,-5,1,1,1,2,7,2,1,1,16,2,2,2,6,4,120000,5,3,4,3,2,1,3,2,2,3,2,3,3,1,2,3,4,3,3,2,3,3,1,4,2,1,7,174,70,2,3,7,1,2,3,2,2,3,2,2,2,2,-5,2,-5,1,1,2,-5,-5,-5,0,0,2,-5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,3,2,2,2,2,2,3,0,12.5,3,0300003,0400005,0530001,0910150,0910113,0910781,-4,-4,-4,-4,-4,-4,-4,-4,-4,0101001,0700001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3527,35271,216,2164,1,2,4,1,3,4166,3,3,3,3,3,2,3,2,3,3,1,2,3,3,2,1,2,2,4,4,3,4,3,3,3,6,4,2,-5,-5,2,-5,2,-5,-5,2,-5,2,-5,-5,2,-5,4,1,1,-5,-5,1,3,2,3,2,3,1,3,1,4,5,4,4,4,3,4,1,2,-5,5,3,3,3,3,1,1,5,5,2,4,12,14,3,1,4,2,3,2,6,2,4,2,4,4,3,4,4,2,2,4,2,3,3,2,2,3,3,3,3,3,3,4,4,3,3,4,4,5,5,2,-5,-5,2,-5,-5,1,1,5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,1,2,-5,2,-5,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,3,1,1,1,1,20101,3,5,3,1,12120101,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,1,1,1,12,2,1,5,2,2,2,5,7,1,2000,2,3,4,1,1,3,4,4,3,4,3,3,3,1,2,4,4,4,3,3,4,1,2,3,2,1,7,171,61,1,4,6,2,2,2,2,2,2,2,2,2,2,-5,1,1,1,3,2,-5,-5,-5,10,0,2,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,4,4,3,3,3,4,5,1,-2,-2,0220021,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0500024,0750001,0700001,0400005,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3528,35281,246,2463,2,2,5,1,2,4224,3,4,4,4,2,4,3,3,4,3,4,5,4,3,1,1,1,1,4,4,4,3,2,4,4,5,4,2,-5,-5,2,-5,2,-5,-5,2,-5,2,-5,-5,2,-5,4,3,1,-5,-5,6,-5,-5,-5,-5,-5,-5,-5,1,4,5,4,5,5,3,5,2,-5,-5,4,2,3,5,5,5,5,3,6,1,8,5,1,2,1,2,4,3,3,4,1,5,2,3,4,2,3,4,3,2,4,1,4,3,2,2,4,3,4,3,2,2,4,4,4,3,4,4,4,4,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,1,2,-5,2,-5,1,2,190504-1,K02070-15,12,1,045,4,3,2,-5,4,1,2,3,-5,2,1,3,2,1,30201,3,2,4,1,24123102,1,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,2,-5,2,-5,2,-5,1,4,2,-5,1,4,1,1,1,1,12,3,1,2,1,3,2,5,6,4,400000,2,1,3,5,1,9,3,3,3,4,3,4,3,1,2,3,4,4,4,4,4,1,1,6,3,2,1,158,47,1,4,7,2,2,3,2,1,1,1,2,3,2,-5,2,-5,2,-5,1,1,2002,2,5,0,2,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,2,2,2,2,3,3,3,3,4,3,1,69.8,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0101001,0120001,0210001,0220012,0300003,0400005,0500024,0530001,0540001,0700001,0600007,0910030,0610001,-4,-4
3529,35291,270,2702,2,2,1,2,2,4089,2,2,3,2,3,2,3,2,3,3,3,3,2,2,1,2,2,2,3,4,3,5,3,3,2,6,1,1,7,1,2,-5,1,13,-4,2,-5,2,-5,-5,2,-5,4,1,1,-5,-5,1,4,3,4,3,2,2,5,1,4,4,3,2,4,1,4,1,4,1,3,1,1,2,4,1,1,2,3,13,-5,1,14,1,1,2,3,3,2,5,1,2,5,2,1,1,2,1,1,1,3,1,2,3,2,2,3,3,3,2,3,3,4,4,4,3,3,3,3,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,1,2,-5,2,-5,2,-5,-5,-5,-5,1,121,4,4,1,2,1,3,1,3,-5,2,1,3,2,1,70204,4,4,4,1,24420302,5,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,2,-5,2,-5,1,3,1,3,2,-5,2,-5,1,1,1,2,7,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,8,3,4,3,5,3,3,2,1,2,3,3,4,3,3,4,1,1,3,4,2,2,160,60,1,2,7,1,3,3,2,1,2,2,2,2,1,6,2,-5,1,1,1,2,2000,1,10,8,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,3,2,4,2,4,3,0,-2,-2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0220012,0910004,0500024,0920147,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3530,35301,278,2781,2,2,4,1,3,4166,1,3,3,3,2,3,3,4,4,3,2,4,3,4,1,1,1,1,3,3,3,3,3,3,4,1,9,2,-5,-5,1,11,2,-5,-5,1,101,2,-5,-5,2,-5,3,1,1,-5,-5,1,3,3,4,3,3,3,3,1,3,3,3,4,3,2,5,1,4,1,3,1,1,3,1,2,6,3,6,1,12,2,12,2,1,4,2,3,2,1,1,4,2,1,4,2,2,1,1,1,4,1,4,3,2,2,4,2,2,2,3,3,4,3,4,3,2,3,3,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,1,1,20,4,3,2,-5,2,-5,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,1,212,80,4,2,-5,-5,1,9,-5,2,-5,2,-5,2,-5,1,3,1,3,2,-5,2,-5,2,1,1,1,12,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,3,3,3,2,3,2,3,3,1,4,3,3,2,3,3,3,3,1,4,2,2,7,165,50,2,3,6,1,2,3,2,2,1,1,2,2,2,-5,2,-5,1,1,2,-5,-5,-5,0,0,2,-5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,4,3,3,3,3,5,5,1,25,3,0101008,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0220001,0540001,0700001,0920023,0920081,0920050,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3531,35311,286,2863,1,2,1,1,3,2001,1,3,3,3,2,2,3,3,4,3,3,4,3,3,1,2,1,1,2,3,3,3,3,3,3,4,3,2,-5,-5,2,-5,2,-5,-5,2,-5,2,-5,-5,2,-5,3,1,1,-5,-5,1,4,2,4,2,3,3,4,1,4,3,4,3,3,3,4,1,4,1,4,1,2,3,1,7,3,6,6,11,1,8,1,3,3,4,3,2,1,2,1,5,2,3,3,2,1,1,1,1,3,1,2,2,1,1,4,1,3,1,3,1,4,2,2,1,3,3,3,2,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,1,2,-5,2,-5,1,2,160704-1,T06040-15,10,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,2,-5,1,3,1,3,1,3,1,3,1,3,1,1,1,2,8,8,1,5,2,3,4,5,6,4,400000,5,3,4,9,8,1,1,3,3,2,3,3,3,1,9,2,2,3,3,3,3,1,1,2,4,1,2,174,53,1,1,7,3,2,3,2,2,2,2,3,3,2,-5,2,-5,1,2,2,-5,-5,-5,100,0,2,-5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,2,1,2,4,3,3,3,3,4,4,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0300003,0500024,0110001,0101008,0700001,0920023,0920028,0920070,0920157,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3532,35321,226,2261,1,2,2,1,3,2051,1,3,4,2,1,2,3,3,4,4,4,2,2,5,1,2,2,2,2,2,2,4,2,3,4,4,1,2,-5,-5,1,27,2,-5,-5,2,-5,2,-5,-5,2,-5,2,1,1,-5,-5,1,3,3,4,2,4,2,4,1,3,4,4,4,2,4,3,2,-5,-5,4,1,1,1,1,2,5,6,6,2,13,2,13,1,1,2,2,2,2,3,1,6,2,4,2,2,2,2,2,2,3,2,3,2,3,2,2,1,1,1,2,1,3,2,4,3,3,3,4,4,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,4,1,2,-5,2,-5,1,3,210413-3,A03080-00,11,1,202,4,2,1,1,1,4,1,2,-5,2,1,2,2,1,40801,3,2,2,1,22221002,4,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,3,2,-5,1,4,1,3,2,-5,2,-5,1,1,1,2,12,8,1,2,10,1,2,5,7,1,1500,7,7,4,8,2,9,2,2,2,4,2,3,4,1,7,4,4,4,3,2,4,1,1,6,2,1,2,166,78,2,3,5,3,2,2,2,2,1,1,2,2,1,9,2,-5,1,1,2,-5,-5,-5,2,2,2,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,3,2,3,4,3,3,3,1,33.3,3,0920228,0920191,0920056,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0920193,0920220,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0210001,0400006,0750001,0920032,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3533,35331,208,2083,1,2,7,2,2,4155,1,4,4,5,1,3,3,4,5,5,5,4,1,4,1,1,1,1,3,4,1,3,3,3,4,4,5,2,-5,-5,1,04,1,-4,22,2,-5,2,-5,-5,2,-5,3,1,1,-5,-5,1,4,2,5,4,4,2,5,1,5,5,2,3,3,1,4,1,4,9,4,1,1,3,3,4,3,4,5,1,2,1,2,3,1,3,5,5,1,1,1,6,2,3,2,2,1,4,1,1,4,3,3,2,4,2,5,2,3,2,3,1,4,3,3,2,4,3,3,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,2,1,2,1,3,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,3,1,1,1,1,40803,2,4,3,1,11110304,7,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,1,4,1,4,2,-5,1,4,2,-5,1,4,2,1,2,1,7,7,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,9,3,4,4,4,2,2,5,1,2,3,2,3,4,5,4,1,2,6,8,1,1,170,75,2,4,7,2,1,3,2,1,1,3,1,2,2,-5,2,-5,2,-5,2,-5,-5,-5,0,0,2,-5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-5,-5,-5,-5,-5,-5,1,1,2,5,5,5,5,3,5,5,1,6.7,4,0101001,0400005,0500024,0530001,0101004,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0520001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0300015,0500010,0700007,0750001,0620006,0920296,0120002,0910728,0910760,0910150,0910012,-4,-4,-4,-4
3534,35341,240,2402,2,2,1,1,3,4166,2,3,4,3,1,3,3,2,2,4,2,2,5,4,1,1,1,1,5,2,3,4,3,4,5,4,5,2,-5,-5,1,21,2,-5,-5,2,-5,2,-5,-5,2,-5,2,1,1,-5,-5,1,3,4,3,3,4,3,3,1,3,3,4,4,4,2,3,2,-5,-5,4,1,1,1,1,2,1,5,6,2,1,8,2,2,1,4,4,5,2,3,1,6,2,4,3,1,4,2,1,1,2,1,3,3,2,1,3,2,3,2,2,2,1,2,3,2,4,2,3,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,1,2,-5,2,-5,2,-5,-5,-5,-5,1,121,3,3,1,1,4,9,1,2,-5,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,1,4,1,2,2,-5,1,3,1,4,1,5,1,3,2,1,2,1,1,1,1,1,16,1,2,10,6,1,1500,5,2,4,1,3,6,1,3,3,4,2,3,3,1,1,3,3,3,3,2,2,1,1,6,4,2,2,155,50,1,3,6,3,1,1,2,2,1,2,2,2,1,4,2,-5,1,1,1,6,2000,1,1,3,2,-5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,2,2,2,2,2,2,3,2,4,3,1,81.5,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0101001,0540001,0920021,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3535,35351,281,2813,1,2,5,1,2,7040,1,5,4,3,2,3,3,1,4,3,2,3,5,5,1,1,1,1,4,3,3,4,3,5,4,3,4,1,7,1,1,09,1,-4,26,1,101,2,-5,-5,2,-5,5,2,1,-5,-5,1,4,4,4,5,5,2,4,6,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,4,5,4,5,5,4,2,5,6,2,3,4,5,1,1,3,3,3,4,5,4,3,2,2,3,2,4,3,2,4,3,1,3,4,2,3,4,4,1,3,4,3,5,5,5,5,4,3,5,4,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,1,1,12,1,1,5,3,4,1,7,1,6,1,1,170303-1,M02035-15,11,1,131,5,4,2,-5,1,2,1,5,-5,4,1,2,2,1,50302,5,4,4,1,24123702,9,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,5,2,-5,1,4,1,3,2,-5,1,4,1,1,1,1,6,1,1,5,2,1,2,6,5,4,800000,5,2,4,8,2,3,3,3,4,5,4,5,4,1,1,5,5,5,5,5,4,4,1,3,4,1,2,180,70,2,4,5,1,2,3,2,1,1,1,2,2,2,-5,2,-5,2,-5,2,-5,-5,-5,2,0,2,-5,13,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,-5,-5,-5,-5,-5,-5,1,1,2,3,3,3,4,4,4,5,0,35,3,0530006,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0101001,0540001,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0500024,0300003,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
3536,35361,249,2491,1,2,4,2,3,2001,1,3,2,2,4,2,3,3,4,3,3,2,2,3,1,2,1,2,2,3,3,4,2,4,3,4,6,2,-5,-5,1,27,2,-5,-5,2,-5,2,-5,-5,2,-5,3,3,1,-5,-5,6,-5,-5,-5,-5,-5,-5,-5,1,3,3,4,3,3,4,5,1,3,3,4,3,2,3,1,2,5,4,6,2,1,2,8,3,1,2,2,4,1,2,1,6,2,4,4,1,2,1,2,1,2,1,2,2,4,4,2,2,4,2,2,2,3,2,2,2,5,3,3,3,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,3,1,2,-5,2,-5,1,3,210413-3,A03080-00,10,1,103,3,2,1,5,1,6,2,3,-5,2,1,1,2,2,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,6,2,-5,2,-5,2,-5,2,-5,1,2,2,-5,2,1,2,2,7,7,1,1,10,1,2,8,7,1,2500,5,3,4,3,1,8,2,3,3,3,2,3,3,1,2,4,4,3,3,2,3,3,1,6,2,1,8,183,63,1,3,6,2,2,2,2,1,2,1,2,2,2,-5,1,1,1,2,2,-5,-5,-5,10,5,2,-5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-5,1,1,2,3,3,4,4,2,4,4,0,82.6,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0300005,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
