BYSID,BYHID,GENDER,BYSCLASS,NEW_YN,F3E01001,F3E01002,F3E01003C,F3E01004C,F3E01005C,F3E01006,F3E01007,F3E01008,F3E01009,F3E01010,F3E01011,F3E01012,F3E01013,F3E01014,F3E01015,F3E01016,F3E01017,F3E01018,F3E01019,F3E01020,F3E01021,F3E01022,F3E01023,F3E01024,F3E01025,F3E01026C,F3E01027,F3E01028,F3E01029,F3E01030,F3E01031,F3E01032,F3E01033,F3E01034,F3E01035,F3E01036,F3E01037,F3E01038,F3E01039,F3E01040,F3E01041,F3E01042,F3E01043,F3E01044,F3E01045,F3E01046,F3E01047,F3E01048,F3E01049,F3E01050,F3E01051,F3E01052,F3E01053,F3E01054,F3E01055,F3E01056,F3E01057,F3E01058,F3E01059,F3E01060,F3E01061,F3E01062,F3E01063,F3E01064,F3E01065,F3E01066,F3E01067,F3E01068,F3E01069,F3E01070,F3E01071,F3E01072,F3E01073,F3E01074,F3E01075,F3E01099,F3E01100,F3E01101,F3E01102,F3E01103,F3E01104,F3E01105,F3E01106,F3E01107,F3E01108,F3E01109,F3E01110,F3E01111C,F3E01112,F3E01113C,F3E01114,F3E01115,F3E01116,F3E02001,F3E03001,F3E03002,F3E03003,F3E03004,F3E03006,F3E03007C,F3E03008C,F3E03010,F3E03011,F3E03012,F3E03013,F3E03014,F3E03015,F3E03016,F3E03017,F3E03018,F3E03019,F3E03020,F3E03021,F3E03022,F3E03023,F3E03024,F3E03025,F3E03026,F3E03027,F3E03028,F3E03029,F3E03030,F3E03031,F3E03032,F3E03033,F3E03034,F3E03035,F3E03036,F3E03037,F3E03038,F3E03039,F3E03040,F3E03041,F3E03042,F3E03043,F3E03044,F3E03045,F3E03046,F3E03047,F3E03048,F3E03049,F3E03050C,F3E03051,F3E03052,F3E03053,F3E03054,F3E03055,F3E03056,F3E03057,F3E03058,F3E03059,F3E03060,F3E03061,F3E03062,F3E03063,F3E03064,F3E03065,F3E03066,F3E03067,F3E03068,F3E03069,F3E03070,F3E03071,F3E03072,F3E03073,F3E03074,F3E03075,F3E03076,F3E03077,F3E03078,F3E03079,F3E03080,F3E03081,F3E03082,F3E04001,F3E04002,F3E04003,F3E04004,F3E04005,F3E04006C,F3E04007,F3E04008,F3E04009,F3E04010,F3E04011,F3E04012,F3E04013,F3E05001,F3E05002,F3E05003,F3E05004,F3E05005,F3E05006,F3E05007C,F3E05008C,F3E05009,F3E05010,F3E05011,F3E05012,F3E05013,F3E05014,F3E05015,F3E05016,F3E05017,F3E05018,F3E05019,F3E05020C,F3E05021C,F3E05022,F3E05023,F3E05024,F3E05025,F3E05026,F3E05027,F3E05028,F3E05029,F3E05030,F3E06001,F3E06002,F3E06003,F3E06004,F3E06005,F3E06006,F3E06007,F3E06008,F3E06009,F3E06010,F3E06011,F3E06012,F3E06013,F3E06014,F3E06015,F3E06016,F3E06017,F3E06018,F3E06019,F3E06020,F3E06021,F3E06022,F3E06023,F3E06024,F3E06025,F3E06026,F3E06027,F3E06028,F3E06029,F3E06030,F3E06031,F3E06032,F3E06033,F3E06034,F3E06035,F3E06036,F3E06037,F3E06038,F3E06039,F3E06040,F3E06041,F3E06042,F3E06043,F3E06044,F3E06045,F3E06046,F3E06047,F3E06048,F3E06049,F3E06050,F3E06051,F3E06052,F3E06053,F3E06054,F3E06055,F3E07001,F3E07002,F3E07003,F3E07004,F3E07005,F3E07006,F3E07007,F3E07008,F3E07009,F3E07010,F3E07011,F3E07012,F3E07013,F3E07014,F3E07015,F3E07016,F3E07017,F3E07018,F3E07019,F3E07020,F3E07021,F3E07022,F3E07023,F3E07024,F3E07025,F3E07026,F3E07027,F3E07028,F3E07029,F3E07030,F3E07031,F3E07032,F3E07033,F3E07034,F3E07035,F3E07036,F3E07037,F3E07038,F3E07039,F3E07040,F3E07041,F3E07042,F3E07043,F3E07044,F3E07045,F3E07046,F3E07047,F3E07048,F3E07049,F3E07050,F3E07051,F3E08001,F3E08002,F3E08003,F3E08004,F3E08005,F3E08006,F3E08007,F3E08008,F3E08009,F3E08010,F3E08011,F3E08012,F3E08013,F3E08014,F3E08015,F3E08016,F3E08017,F3E08018,F3E08019,F3E08020,F3E08021,F3E08022,F3E08023,F3E08024,F3E08025,F3E08026,F3E08027,F3E08028,F3E08029,F3E08030,F3E08031,F3E08032,F3E08033,F3E08034,F3E08035,F3E08036,F3E08037,F3E08038,F3E08039,F3E08041,F3E08042,F3E08043,F3E08044,F3E08045,F3E08046,F3E08047,F3E08048,F3E08049,F3E08050,F3E08051,F3E08052,F3E08053,F3E08083,F3E08084,F3E08085,F3E08086,F3E08087,F3E08088,F3E08089,F3E08090,F3E08091,F3E08092,F3E09002,F3E09003,F3E09004,F3E09005,F3E09006,F3E09007,F3E09008,F3E09009,F3E09010,F3E09011,F3E09012,F3E09013,F3E09014,F3E09015,F3E09016,F3E09017,F3E09018,F3E09019,F3E09020,F3E09021,F3E09022,F3E09023,F3E09024,F3E09025,F3E09026,F3E09027,F3E09028,F3E09029,F3E09030,F3E09031,F3E09032,F3E09033,F3E09034,F3E09035,F3E09036,F3E09037,F3E09038,F3E09039,F3E09040,F3E09041,F3E09042,F3E09043,F3E09044,F3E09045,F3E09046,F3E09047,F3E09048,F3E09049,F3E09050,F3E09051,F3E09052,F3E09053,F3E09054,F3E09055,F3E09056,F3E09057,F3E09058,F3E09059,F3E09060,F3E09061,F3E09062,F3E09063,F3E09064,F3E09065,F3E09066,F3E09067,F3E09068,F3E09069,F3E09070,F3E09071,F3E09072,F3E09073,F3E09074,F3E09075,F3E09076,F3E09077,F3E09078,F3E09079,F3E09080,F3E09081,F3E09082,F3E09083,F3E09084,F3E09085,F3E09086,F3E09087,F3E09088,F3E09089,F3E09090,F3E09091,F3E09092,F3E09093,F3E09094,F3E09095,F3E09096,F3E09097,F3E09098,F3E09099,F3E09100,F3E09101,F3E09102,F3E09103,F3E09104,F3E09105,F3E09106,F3E09107,F3E09108,F3E09109,F3E09110,F3E09111,F3E09112,F3E09113,F3E09114,F3E09115,F3E09116,F3E09117,F3E09118,F3E10001,F3E10002,F3E10003,F3E10004,F3E10005,F3E10006,F3E10007,F3E10008,F3E10009,F3E10010,F3E10011,F3E10012,F3E10013,F3E10014,F3E10015,F3E10016,F3E10017,F3E10018,F3E10019,F3E10020,F3E10021,F3E10022,F3E10023,F3E10024,F3E10025,F3E10026,F3E10027,F3E10028,F3E10029,F3E10030,F3E10031,F3E10032,F3E10033C,F3E10035,F3E10036,F3E11001,F3E11002,F3E11003,F3E11004,F3E11005,F3E11006,F3E11007,F3E11008,F3E11009,F3E11010,F3E11011,F3E11012,F3E11013,F3E11014,F3E11015,F3E11016,F3E11017,F3E11018,F3E12001,F3E12002C,F3E12003,F3E12004,F3E12005,F3E12006,F3E12007,F3E12008,F3E12009,F3E12010,F3E12011C,F3E13001,F3E13002,F3E13003,F3E13004,F3E13005,F3E13006,F3E13007,F3E13008,F3E13009,F3E13010,F3E13011,F3E13012,F3E13013,F3E13014,F3E14001,F3E14002,F3E14003,F3E14004,F3E14005,F3E14006,F3E14007,F3E14008,F3E14009,F3E14010,F3E14011,F3E14012,F3E14013,F3E14014,F3E14015,F3E14016,F3E14017,F3E14018,F3E14019,F3E14020,F3E14021,F3E17001,F3E17002,F3E17003,F3E17004,F3E17005,F3E17006,F3E17007,F3E17008
1341,13411,1,1,1,1,3,12510407,408,40801,1,6,2,1,2,1,4,4,1,2,3,2,7,4,1,2,-5,-5,2,2,-5,-5,2,-5,-5,-5,4,4,4,4,4,5,5,5,5,3,4,4,4,3,3,4,4,4,4,1,3.9,4.5,500,0,0,0,0,2,-5,4,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,2,2,1,4,4,4,2,2,3,4,4,3,2,1,3,4,4,4,3,1,4,1,2,6,3,4,4,3,2,2,4,4,4,3,2,1,4,3,3,3,2,1,4,4,3,1,1,1,4,20000,1,11,1,2,2,13,14,4,13,0,1,1,0,0,1,0,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,1,1,11,6,4,2,-5,-5,-5,2,-5,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,8,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,-4,4,2,4,4,4,10,1,1,1,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,2,2,2,3,3,3,3,4,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,-5,2,-5,2,-5,-5,-5,-5,-5,1,2,-5,-5,1,5,1,2,-5,-5,2,-5,-5,1,3,1,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,200000,4,2,2,-5,-5,-5,1,4,2,-5,1,3,1,4,2,-5,1,4,3,3,3,3,3,1,1,2011,4,4,5,2,-5,-5,2,2,-5,2,6,1,2,4,4,4,3,3,3,4,1,3,2,4,6,7,5,2,2,2,2,2,2,2,2,2,2,2,-5,3,1,7,180,62,6,2,2,1,1,1683,46,97
2098,20981,1,1,1,1,3,12510407,-4,-4,1,5,1,2,1,2,1,5,3,1,2,2,4,3,3,-5,-5,-5,1,2,-5,-5,2,-5,-5,-5,5,4,3,5,5,4,5,3,5,4,5,4,2,4,5,4,5,5,4,0,3.21,4.3,170,0,0,170,0,2,-5,4,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,2,6,30,-5,5,2,1,1,4,4,3,2,1,1,5,5,5,2,1,1,5,1,2,6,120,-5,5,1,2,1,5,5,5,2,2,1,5,5,4,1,1,1,5,4,3,2,4,5,5,30000,9,2,1,2,7,-5,2,1,2,0,2,1,3,2,2,1,2,1,3,2,2,1,4,1,3,1,2,2,1,1,1,1,2,2,2,1,1,7,2,3,4,2,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,1,1,8,5,5,0,1,0,0,0,0,4000000,4,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,6,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,9,5,3,5,3,4,5,1,1,1,1,4,2,4,4,5,2,4,4,5,3,4,5,5,4,5,5,5,5,5,4,2,1,3,5,1,2,1,1,5,5,5,3,2,3,5,4,5,1,1,1,4,3,2,1,1,1,4,3,4,4,2,3,4,1,0,1,1,0,0,0,0,0,0,0,0,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,-5,2,-5,2,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,-5,-5,-5,2,-5,1,3,1,4,1,4,2,-5,1,5,3,4,5,5,3,2,2,-5,-5,-5,-5,-5,-5,-5,2,2,-5,1,2,1,2,4,5,5,4,5,5,1,4,1,2,4,10,6,4,2,2,2,2,1,1,1,1,1,1,2,-5,2,1,3,165,68,7,1,1,1,3,150,10,30
2155,21551,1,1,1,1,3,12510407,400,40000,1,6,2,1,3,1,3,4,3,-4,-4,-4,-4,4,2,2,-5,-5,2,2,-5,-5,1,5,30000,5,5,4,2,4,4,4,4,5,5,4,4,-4,5,5,1,3,4,4,1,3,3.3,4.3,0,0,0,750,0,2,-5,4,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,2,6,10,2,4,3,1,2,1,2,4,5,2,1,4,1,5,5,3,1,5,1,2,6,20,4,3,3,5,3,5,5,5,5,1,3,5,4,4,5,3,4,5,3,4,2,3,4,3,300000,3,2,1,4,8,2,8,5,9,0,2,1,4,1,6,1,2,3,3,1,2,2,4,2,3,1,2,2,2,4,1,1,1,3,4,1,3,1,2,4,5,1,1,14,3,3,2,-5,-5,-5,2,-5,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,9,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,3,3,3,2,4,3,20,1,2,1,1,4,5,4,4,4,4,4,4,5,2,5,5,3,5,5,5,5,3,1,1,3,5,1,5,1,3,4,4,5,5,5,4,2,4,5,5,5,4,2,3,2,2,2,4,5,4,4,4,4,3,1,5,9,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,-5,2,-5,2,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,-5,-5,-5,2,-5,2,-5,1,5,1,4,2,-5,2,-5,4,3,4,3,3,3,2,-5,-5,-5,-5,-5,-5,-5,2,2,-5,3,1,2,-5,3,4,4,4,4,3,1,2,1,1,3,3,4,1,2,2,2,2,3,2,1,1,1,1,2,-5,4,1,7,175,80,7,1,2,1,3,141,8,28
9001,90011,1,1,2,1,3,11122601,407,40701,1,8,2,2,1,2,1,3,2,1,2,2,4,3,3,1,1,3,2,2,-5,-5,2,-5,-5,-5,5,3,3,5,4,3,4,4,4,3,3,3,3,4,3,3,3,2,3,2,3.89,4.5,0,0,0,450,0,2,-5,4,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,2,6,15,4,4,2,2,1,5,4,4,2,1,1,5,4,5,1,2,1,5,1,2,6,15,4,3,1,2,1,5,4,2,2,1,1,5,3,2,1,4,1,4,4,3,2,4,4,4,300000,2,4,5,10,14,2,7,5,7,0,0,1,3,1,4,1,3,4,3,3,2,1,4,2,1,1,3,4,3,2,1,1,4,2,1,1,6,1,1,4,3,1,2,11,15,3,1,6,1,3,2,-5,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,7,12,-4,2,-5,-5,-5,-5,-5,9,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,3,2,3,4,3,2,22,1,1,1,2,4,2,4,4,3,2,5,3,2,2,4,4,2,4,4,4,4,5,4,4,3,4,2,5,1,4,3,4,5,4,5,5,1,4,5,4,5,5,3,4,4,2,4,4,2,4,4,2,4,4,2,4,3,1,0,0,1,0,0,0,0,0,0,0,0,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,2,-5,2,-5,2,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,-5,-5,-5,2,-5,1,4,1,4,1,3,1,3,1,4,4,4,4,3,8,12,1,0432,2,3,3,1,2,1,2,2,-5,2,8,1,1,3,4,4,2,3,4,4,4,1,2,4,5,7,4,2,1,1,1,1,2,2,3,2,1,2,-5,4,1,1,173,68,7,1,2,1,3,141,8,28
9002,90021,1,1,2,1,3,11123201,405,40502,1,1,2,1,2,1,2,4,3,1,2,1,2,4,2,1,1,4,2,2,-5,-5,2,-5,-5,-5,4,3,3,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3.57,4.3,400,20,-3,-3,-3,2,-5,4,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,1,2,1,1,4,4,3,3,3,4,4,3,4,3,2,4,4,4,2,2,1,4,1,2,1,3,4,4,3,4,2,4,4,3,4,3,2,4,4,3,3,2,2,4,3,1,1,3,2,4,500000,2,10,1,5,10,7,-5,4,-5,.5,2,1,2,1,5,3,1,4,4,4,4,2,4,2,2,1,2,3,3,3,2,2,3,3,3,1,3,1,2,4,3,1,1,11,20,3,2,-5,-5,-5,2,-5,-5,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,2,-5,-5,-5,-5,-5,14,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,4,2,4,4,4,40,1,1,1,1,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,2,2,4,4,4,3,2,3,4,4,4,3,3,4,2,2,2,2,2,2,4,4,4,3,3,3,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,0,1,0,0,0,0,0,0,0,0,2,2,-5,2,-5,2,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,-5,-5,-5,2,-5,1,3,1,3,1,3,2,-5,2,-5,4,4,4,4,3,3,2,-5,-5,-5,-5,-5,-5,-5,1,2,-5,1,2,1,2,4,4,4,4,4,4,3,1,2,2,4,10,4.5,3,2,2,2,1,1,1,1,2,2,1,2,-5,4,1,7,175,63,7,1,2,1,3,99,6,23
9003,90031,1,1,2,1,3,12510407,400,40000,1,6,2,1,2,2,1,5,2,1,3,2,4,4,1,2,-5,-5,2,2,-5,-5,2,-5,-5,-5,5,4,2,5,3,5,3,4,5,3,4,4,3,3,2,3,4,3,4,2,4.11,4.3,3.6,0,0,180,0,2,-5,4,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,1,2,6,2,5,4,2,2,2,2,3,3,3,2,2,4,5,4,1,2,1,4,1,2,6,2,5,4,2,2,2,2,3,3,3,2,2,4,5,4,1,2,1,4,4,1,1,2,1,4,300000,2,1,1,9,11,2,12,2,12,0,0,1,1,1,4,0,2,4,2,2,1,1,4,2,3,1,4,4,3,3,2,2,4,4,2,1,1,2,4,3,3,2,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-5,-5,-5,1,5,42,4,2,2,10,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,4,5,3,5,4,2,6,2,1,1,1,5,2,4,4,5,2,4,3,5,1,3,3,2,4,3,2,2,5,3,2,3,1,1,1,1,3,3,2,5,5,5,4,3,3,5,5,5,2,2,2,1,2,2,4,4,4,4,2,4,1,3,2,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,-5,2,-5,2,-5,-5,-5,-5,-5,1,2,-5,-5,1,12,1,1,2,1,2,-5,-5,1,3,1,2,-5,-5,2,-5,-5,2,-5,-5,2,-5,-5,60000,4,2,2,-5,-5,-5,2,-5,2,-5,1,4,1,4,2,-5,1,4,4,4,4,4,1,1,1,0411,3,3,5,2,-5,-5,2,2,-5,8,1,1,1,5,4,3,3,3,3,1,1,2,2,3,.5,8,4,2,1,1,1,1,1,1,1,1,1,2,-5,3,1,7,163,62,7,1,4,1,3,96,5,21
