BYSID,J007C
1371,231
1372,141
1372,2271
1373,1132
1374,1450
1374,2271
1375,855
1375,855
1378,465
1384,1331
1384,1331
1384,242
1384,1331
1387,1264
1387,1119
1388,1331
1388,1331
1388,1032
1389,462
1390,1264
1390,1119
1391,2410
1391,2410
1391,2410
1391,2410
1392,232
1392,252
1392,228
1392,252
1392,252
1393,453
1393,453
1395,460
1396,1045
1396,241
1396,241
1396,674
1399,1045
1399,1032
1399,1222
1407,1331
1407,1045
1407,1045
1407,1970
1407,1970
1407,1970
1407,1970
1407,1970
1407,1970
1410,252
1412,2325
1412,1044
1412,1222
1412,1222
1412,852
1412,2028
1413,1045
1414,2125
1414,2272
1414,1045
1414,640
1414,640
1415,1213
1415,1214
1415,1213
1415,1213
1415,1213
1416,1331
1416,1045
1416,223
1417,854
1417,815
1417,815
1417,220
1417,220
1418,1034
1420,1034
1420,1034
1420,1034
1420,1332
1420,1332
1420,1939
1420,1939
1422,1032
1423,1319
1423,1319
1423,1045
1423,1331
1423,1332
1425,1045
1425,1332
1425,223
1425,232
1426,1970
1426,1931
1429,1332
1430,874
1433,1331
1434,241
1434,1331
1434,1331
1434,1250
1434,1250
1435,854
1435,1331
1442,1032
1442,1032
1442,1250
1442,1045
1448,1331
1448,232
1448,252
1448,232
1448,232
1448,462
1449,1213
1450,1331
1450,1264
1455,1727
1455,1727
1456,1319
1456,1319
1459,1921
1459,1912
1460,1331
1460,721
1460,721
1460,720
1460,721
1460,721
1460,721
1461,1581
1467,1044
1467,1332
1467,1726
1467,1331
1467,1510
1469,1045
1470,1331
1470,1410
1471,2253
1472,1121
1472,1121
1472,242
1478,1540
1479,1045
1479,1045
1480,1033
1481,1331
1481,1332
1481,1331
1481,221
1481,855
1482,1232
1482,252
1482,252
1487,252
1487,1032
1487,252
1487,462
1487,1032
1487,228
1487,1032
1487,252
1490,1132
1490,1250
1490,1250
1490,1045
1490,1045
1490,1045
1490,1119
1492,2272
1492,223
1492,1970
1493,1045
1493,1045
1493,640
1493,640
1496,231
1496,1970
1496,1970
1496,1970
1496,1970
1496,1911
1498,1250
1498,2410
1500,1044
1500,1311
1500,1970
1501,252
1501,220
1501,228
1503,1331
1504,460
1505,1331
1505,1045
1507,1045
1507,1333
1507,1333
1507,1333
1507,1331
1507,1032
1507,1032
1511,1032
1511,1032
1511,1032
1511,1032
1515,1331
1515,1331
1515,1331
1515,1331
1515,1045
1515,1032
1515,1331
1515,1330
1517,1250
1517,1332
1519,1264
1519,911
1521,1331
1521,1045
1521,1490
1522,453
1523,1411
1525,1132
1525,2123
1527,1722
1527,1581
1528,1032
1529,1032
1529,1032
1532,1333
1532,1033
1532,1014
1532,933
1534,1331
1534,1331
1534,1331
1534,1032
1535,1045
1535,1911
1535,1331
1535,1045
1535,1045
1535,1331
1535,1045
1535,1045
1536,2340
1536,1331
1536,1331
1536,220
1542,1052
1544,821
1544,1045
1544,852
1547,252
1548,1045
1548,1032
1548,1032
1548,1032
1548,677
1548,711
1549,1032
1549,221
1549,462
1550,252
1550,252
1550,252
1552,2020
1553,1310
1556,1331
1560,1332
1560,1045
1561,1331
1561,721
1561,721
1561,721
1562,1045
1562,1032
1562,1320
1562,1250
1565,232
1565,220
1565,220
1565,220
1566,1670
1567,1330
1567,2272
1567,1032
1567,1912
1568,1032
1568,1032
1568,1032
1568,1045
1572,1331
1572,1332
1572,1970
1572,1970
1572,1970
1575,1045
1577,1031
1579,1234
1580,1331
1580,1043
1581,1119
1582,1331
1582,1045
1582,252
1583,1250
1585,1331
1585,1331
1586,220
1586,252
1586,252
1589,462
1589,462
1590,1331
1590,1331
1590,1045
1590,1045
1591,1014
1593,462
1593,252
1595,1331
1596,462
1596,462
1597,1032
1597,1032
1597,1332
1597,1032
1598,2272
1601,453
1601,453
1601,450
1602,1331
1602,1045
1602,1331
1602,1032
1602,1032
1602,1121
1604,1962
1604,1670
1606,1045
1606,1045
1608,1331
1608,1032
1608,1032
1609,1045
1609,1970
1609,242
1609,1970
1611,1045
1611,1045
1611,228
1611,228
1611,220
1611,1032
1614,1045
1614,242
1614,1540
1615,1032
1617,1045
1620,1044
1620,1331
1621,252
1621,1331
1621,1032
1621,252
1621,1045
1621,1045
1626,1219
1626,1219
1626,1219
1626,321
1626,220
1626,1033
1626,1033
1627,462
1627,462
1627,1331
1627,1331
1627,462
1627,221
1629,1331
1629,1331
1629,252
1629,1970
1629,1032
1631,1331
1631,252
1631,241
1631,1045
1631,462
1634,677
1634,677
1634,854
1634,252
1635,1132
1636,1045
1636,1034
1636,1045
1636,228
1636,228
1636,220
1638,1331
1638,1331
1638,1119
1638,1970
1640,1032
1640,1032
1642,1331
1642,1332
1642,1045
1643,1331
1644,1331
1644,220
1644,223
1647,1045
1647,1032
1647,1032
1647,1032
1647,721
1648,1331
1648,252
1648,252
1648,1411
1649,1222
1649,1222
1649,465
1650,1583
1650,1583
1650,1583
1651,462
1651,1332
1651,462
1651,252
1658,1333
1658,1581
1659,1114
1659,222
1659,222
1664,1331
1664,1333
1664,952
1664,1333
1664,1032
1665,462
1665,462
1665,462
1666,1970
1666,1970
1666,1970
1666,1970
1666,1970
1667,1331
1667,1331
1667,1331
1667,1331
1667,1331
1667,1331
1667,1045
1667,1331
1668,1114
1669,1222
1669,1222
1669,1045
1669,1032
1670,1045
1670,1331
1670,1045
1670,1032
1670,1014
1670,1331
1670,1331
1671,663
1671,663
1672,1331
1673,227
1678,1032
1680,232
1680,1045
1680,232
1680,1319
1680,1032
1683,1331
1687,252
1687,1970
1687,462
1688,2410
1689,1212
1689,1212
1689,1212
1690,1331
1691,220
1691,220
1691,465
1693,1331
1695,1333
1695,1333
1696,1313
1696,2023
1696,2023
1698,1582
1698,1650
1701,1332
1701,1032
1701,2121
1701,2121
1701,2121
1703,1332
1703,677
1703,1332
1703,231
1704,1045
1704,1320
1704,1121
1704,1331
1704,241
1704,1045
1704,1045
1704,323
1709,1490
1709,1490
1709,1490
1713,1970
1719,1332
1721,1331
1721,1250
1721,1119
1721,2028
1723,840
1723,840
1726,1032
1726,1044
1726,855
1728,464
1728,412
1729,1331
1729,2410
1730,1330
1730,1521
1731,252
1733,959
1733,1121
1733,1121
1734,1331
1734,1045
1735,1032
1735,1319
1735,1581
1735,1250
1735,2127
1735,2127
1736,1331
1736,1331
1736,2410
1737,1331
1738,1032
1738,1032
1738,1032
1738,1032
1738,1032
1739,1250
1739,1320
1739,1121
1740,1043
1741,1032
1741,1032
1741,1032
1741,1032
1741,1970
1741,2272
1741,2272
1741,855
1742,1045
1742,220
1742,1045
1742,252
1742,1045
1742,228
1743,462
1745,1331
1745,1970
1745,1232
1745,1233
1745,1233
1748,721
1748,453
1748,453
1752,220
1754,1331
1754,677
1754,677
1754,677
1754,677
1755,1331
1756,1121
1756,1400
1759,1331
1759,1331
1759,1331
1759,1331
1759,1032
1759,677
1760,1045
1760,1045
1760,232
1760,232
1760,1045
1761,2272
1761,1970
1761,1970
1761,1970
1761,2028
1767,1332
1768,1045
1768,1331
1768,1331
1772,1045
1773,1331
1773,1331
1773,462
1773,453
1773,453
1776,228
1776,462
1776,321
1778,2127
1779,1032
1779,1970
1779,1970
1779,1970
1779,1970
1779,1831
1780,2253
1780,2253
1781,1331
1781,1332
1781,1331
1783,1045
1783,2272
1789,640
1789,640
1789,640
1790,1970
1790,1970
1790,1045
1790,242
1791,1521
1792,1219
1792,1212
1792,1212
1792,1212
1792,1331
1792,1045
1793,959
1793,952
1793,952
1793,1539
1795,1331
1795,1331
1795,252
1797,1250
1798,462
1798,1132
1798,462
1798,252
1798,252
1798,252
1798,241
1801,1581
1802,1264
1802,1045
1802,1331
1802,1045
1802,1331
1802,1970
1802,1725
1802,1052
1802,1970
1802,1521
1804,679
1804,679
1805,1319
1805,1333
1806,464
1806,464
1809,1032
1809,1121
1809,1331
1810,1119
1810,1269
1810,252
1810,1264
1810,252
1810,1264
1814,1331
1814,1032
1814,241
1814,1332
1816,1045
1816,1970
1816,959
1822,1331
1822,1032
1822,252
1822,1032
1823,1114
1826,1331
1826,1045
1826,1331
1826,2271
1826,1045
1826,1032
1826,1032
1827,2410
1828,323
1828,228
1830,1045
1830,221
1830,1650
1830,1032
1830,1045
1831,156
1831,1032
1831,231
1831,220
1831,252
1832,252
1832,252
1832,1264
1832,1331
1832,1045
1832,1031
1832,220
1834,1970
1834,1583
1835,1581
1836,1032
1837,1045
1837,1332
1837,952
1837,952
1838,1723
1838,1045
1838,663
1838,663
1840,1132
1840,1970
1842,1331
1842,1331
1842,1032
1842,1331
1845,1031
1845,1043
1845,1332
1846,1045
1852,1332
1852,1332
1852,1032
1852,1045
1852,1045
1852,1970
1852,1330
1853,1970
1853,959
1854,464
1854,464
1854,1032
1854,851
1860,1045
1860,1045
1861,252
1861,252
1863,1331
1863,1331
1863,640
1863,640
1864,1332
1864,1132
1865,1319
1865,1331
1865,1045
1865,677
1865,1045
1865,663
1871,1032
1871,2410
1872,1032
1872,1043
1872,1250
1873,1650
1875,252
1876,1045
1876,1045
1876,1045
1877,252
1879,1583
1880,1045
1882,1014
1883,1032
1883,1032
1883,1045
1883,1032
1883,1052
1883,721
1883,323
1884,1045
1884,1045
1884,1032
1886,232
1886,232
1886,1045
1886,1045
1886,1045
1887,1331
1887,1331
1887,1331
1887,1032
1887,663
1887,663
1890,1045
1890,1045
1890,1331
1892,462
1894,1032
1894,1045
1894,462
1894,1032
1897,1331
1897,1331
1897,1331
1897,1331
1897,1331
1897,2127
1897,1032
1897,2127
1899,156
1899,1114
1899,1014
1899,1331
1902,1032
1904,959
1904,959
1904,1014
1905,1970
1905,232
1906,1970
1906,1920
1906,1232
1906,1970
1906,1045
1908,677
1908,677
1908,677
1908,677
1909,1045
1911,1032
1911,1045
1911,1111
1912,2410
1912,2410
1912,2410
1912,2410
1916,2271
1916,1650
1919,1331
1919,1032
1919,1331
1919,1331
1919,1331
1921,252
1921,640
1922,1044
1922,1331
1922,1331
1923,462
1923,1045
1923,1045
1923,1332
1923,462
1923,1331
1924,1661
1924,1661
1925,1031
1926,1032
1927,1045
1927,224
1928,1331
1928,1331
1928,220
1929,1331
1929,1331
1929,640
1930,1331
1930,1045
1930,220
1930,663
1931,1032
1931,1045
1931,228
1931,242
1931,220
1931,220
1932,252
1932,856
1933,224
1935,220
1935,220
1935,220
1935,220
1936,651
1936,651
1937,1331
1937,1331
1941,1970
1942,1045
1946,220
1946,1411
1947,462
1949,225
1949,1045
1950,241
1951,2012
1952,1032
1952,1043
1952,1331
1952,1033
1952,1119
1954,252
1954,462
1954,462
1955,1331
1955,711
1957,1331
1957,1032
1957,1032
1957,1032
1957,242
1958,1032
1960,1582
1960,1014
1960,1014
1961,651
1961,651
1964,413
1966,226
1966,226
1966,225
1968,651
1968,227
1976,1045
1976,242
1976,242
1977,462
1977,462
1977,462
1977,462
1983,2127
1983,1032
1983,1331
1983,1032
1983,152
1983,1213
1985,1119
1987,1331
1987,721
1987,721
1993,220
1994,721
1996,1331
1997,462
1997,1970
1997,1970
1999,1250
1999,1250
1999,1331
1999,1250
2002,1250
2002,1331
2007,1583
2007,1583
2008,453
2008,453
2010,1045
2012,2261
2013,464
2013,464
2013,464
2017,1490
2017,1490
2017,1490
2018,1250
2018,879
2018,1032
2019,1331
2019,663
2019,663
2021,1032
2021,1331
2021,1032
2021,1032
2021,1032
2021,1032
2021,1032
2021,1032
2021,1032
2021,1032
2021,1132
2021,220
2022,1331
2024,1032
2024,1032
2024,1932
2024,1932
2025,1331
2025,1331
2025,640
2030,232
2030,228
2030,228
2030,225
2030,232
2031,462
2031,462
2031,1032
2031,462
2031,452
2033,1331
2033,1332
2033,222
2033,1032
2037,952
2037,959
2038,2410
2038,2410
2040,1045
2040,1119
2040,1250
2042,1310
2042,1725
2042,1331
2042,1331
2042,1331
2044,1045
2044,242
2044,220
2047,1043
2047,1045
2047,1045
2047,1045
2047,2028
2052,142
2052,1970
2054,1032
2057,1331
2059,462
2059,1250
2059,462
2060,450
2060,454
2064,1331
2064,1051
2065,224
2067,1033
2067,1032
2067,1032
2067,1032
2067,242
2067,1032
2070,520
2071,252
2071,1045
2071,1032
2071,1032
2071,1045
2071,1332
2074,252
2075,242
2075,1032
2075,1032
2075,1331
2075,1331
2075,1045
2075,1331
2075,1045
2076,1331
2076,1032
2076,1032
2076,677
2076,241
2078,1045
2078,1045
2080,1032
2083,1132
2084,1550
2084,1552
2084,221
2086,1331
2087,854
2087,854
2087,854
2088,663
2088,663
2088,663
2089,1121
2091,1045
2092,1331
2093,1032
2093,1331
2093,225
2093,225
2093,1032
2094,1331
2094,1310
2094,959
2094,242
2094,1043
2094,1045
2097,1045
2097,1250
2097,221
2097,251
2097,221
2098,462
2099,252
2100,1583
2100,1672
2100,1670
2101,1032
2101,1970
2101,1970
2101,1970
2101,1970
2101,1970
2108,1331
2108,1332
2108,1331
2108,1313
2108,1310
2108,1310
2108,1310
2109,252
2109,1250
2110,640
2117,1032
2117,721
2117,721
2118,1250
2118,1332
2118,1490
2118,1490
2118,1119
2118,1331
2118,242
2119,252
2119,1045
2119,1331
2119,864
2121,1045
2121,1333
2121,1333
2121,1333
2121,1539
2121,1333
2121,1333
2122,1032
2122,1032
2122,1032
2122,1032
2122,1032
2125,462
2126,1490
2126,1045
2126,1044
2126,1310
2126,1310
2128,2121
2129,1970
2130,1033
2130,1032
2133,1032
2133,1044
2133,1132
2133,2272
2133,1032
2133,889
2134,1970
2134,2272
2134,1331
2134,1970
2134,1032
2135,1045
2135,1045
2135,1032
2135,1119
2135,1112
2135,1032
2136,1331
2136,1032
2137,2127
2137,1032
2137,1970
2137,1970
2137,1332
