BYSID,J007C
2030,0232
2031,0462
2033,1331
2037,0952
2038,2410
2040,1045
2042,1310
2044,1045
2047,1043
2052,0142
2054,1032
2057,1331
2059,0462
2060,0450
2064,1331
2065,0224
2067,1033
2070,0520
2071,0252
2074,0252
2075,0242
2076,1331
2078,1045
2080,1032
2083,1132
2084,1550
2086,1331
2087,0854
2088,0663
2089,1121
2091,1045
2092,1331
2093,1032
2094,1331
2097,1045
2098,0462
2099,0252
2100,1583
2101,1032
2108,1331
2109,0252
2110,0640
2117,1032
2118,1250
2119,0252
2121,1045
2122,1032
2125,0462
2126,1490
2128,2121
2129,1970
2130,1033
2133,1032
2134,1970
2135,1045
2136,1331
2137,2127
2139,1331
2140,0711
2144,1045
2145,0721
2146,0220
2148,1331
2149,1331
2153,1032
2154,0252
2156,1045
2157,0422
2158,1032
2159,1723
2162,0450
2165,0220
2166,2121
2167,1045
2168,1032
2172,1331
2173,1331
2174,1331
2176,0462
2178,1970
2179,1970
2180,1032
2181,1331
2183,1032
2191,1250
2193,1331
2194,1319
2196,0464
2198,1320
2200,1250
2201,0232
2202,1032
2203,1970
2204,1331
2206,2023
2210,1313
2213,1032
2215,1032
2216,1045
2217,1330
2218,0462
2219,2272
2221,0252
2224,1331
2225,1032
2227,1121
2228,1044
2231,1031
2232,1331
2233,1264
2234,1912
2236,0674
2237,0714
2238,1114
2239,1045
2240,2127
2243,1331
2246,0242
2248,0464
2250,0460
2251,1032
2253,1032
2254,0460
2255,1043
2256,1045
2257,1332
2258,2030
2260,1332
2263,1331
2266,0243
2271,0223
2276,1332
2277,1045
2279,1250
2280,0241
2281,1331
2283,0959
2286,1331
2288,1032
2290,1045
2292,0252
2294,1331
2295,0241
2296,0462
2297,1331
2298,1332
2302,0721
2303,0652
2304,0679
2305,1582
2309,1032
2310,1970
2311,1331
2313,0228
2315,0721
2316,0241
2321,0220
2324,1970
2326,1331
2327,1331
2328,0843
2329,1032
2331,0220
2332,0156
2333,1045
2335,1112
2336,1034
2337,1331
2338,1331
2339,0640
2342,1331
2345,1043
2346,1331
2347,1331
2349,1237
2351,2023
2354,0220
2355,0462
2356,1310
2357,0321
2361,0952
2362,2127
2371,1045
2372,1212
2373,0663
2378,1331
2380,1264
2382,0451
2385,1331
2387,1045
2388,1581
2389,0722
2391,1310
2393,0220
2396,1032
2398,1234
2399,1121
2400,1032
2402,1331
2404,1119
2405,0223
2407,1045
2408,1032
2410,1332
2414,0462
2416,1331
2418,1970
2419,1043
2421,1250
2422,1045
2425,1032
2429,0315
2430,1052
2431,0453
2433,0663
2436,1045
2437,1032
2439,2271
2440,0312
2441,1032
2443,1331
2444,1121
2447,0223
2449,0911
2450,1710
2452,1331
2453,1114
2454,1044
2458,1045
2459,1032
2460,0252
2462,1043
2468,1045
2470,1032
2471,1331
2475,1331
2476,1032
2477,0243
2481,1045
2483,0462
2485,1052
2487,1319
2488,1331
2489,1045
2490,2127
2491,1331
2492,1121
2494,0462
2495,2028
2497,1331
2499,1045
2503,2242
2506,0462
2507,0959
2508,1044
2511,1331
2512,1119
2517,0462
2519,1045
2525,1582
2526,0252
2528,1970
2529,1331
2530,1331
2532,1045
2533,1032
2535,1331
2537,1331
2540,1331
2541,1331
2542,2127
2543,1250
2544,1222
2545,1331
2546,1313
2547,1045
2548,0462
2549,1970
2552,1331
2554,1331
2557,1264
2559,1331
2560,1310
2562,1331
2564,1043
2566,1331
2568,1331
2570,1219
2573,1490
2574,0462
2575,1331
2576,0640
2577,1032
2579,0640
2580,0252
2582,1333
2584,1319
2585,1032
2586,1212
2587,1581
2588,0640
2589,1045
2590,1264
2591,0222
2592,1045
2594,1032
2595,1490
2596,1310
2598,1331
2599,1045
2600,0220
2602,0462
2606,1045
2611,1045
2613,2028
2615,1045
2616,1331
2617,1331
2619,1331
2620,0889
2622,1043
2625,1582
2627,1331
2628,0822
2629,0464
2631,1032
2632,1331
2634,1045
2636,1331
2637,1014
2638,1331
2639,1250
2643,1045
2644,1045
2645,0461
2646,2024
2647,1032
2649,1032
2650,1319
2651,1331
2653,0220
2655,1331
2656,1331
2657,0461
2662,1219
2663,1411
2664,1313
2667,0659
2668,1331
2671,0252
2673,1032
2674,1331
2675,1313
2678,1032
2680,1331
2681,1332
2684,1529
2687,1264
2691,0453
2693,1331
2694,1313
2696,1250
2697,0220
2700,1045
2701,1032
2702,2410
2704,0242
2705,2410
2707,0464
2708,1132
2711,1052
2716,0242
2717,1331
2719,1331
2720,1132
2726,0462
2728,0252
2729,1331
2731,1044
2733,0453
2737,0241
2738,0462
2739,1119
2740,1313
2741,0454
2742,1833
2743,1333
2744,1332
2745,1044
2749,1331
2752,1032
2753,1045
2754,1043
2755,1690
2760,1331
2761,1920
2762,1032
2764,1970
2765,1121
2766,2028
2767,1045
2768,1219
2769,1331
2771,2121
2772,2127
2773,2252
2774,1331
2775,1970
2779,1583
2780,1045
2784,0252
2788,1044
2789,1331
2794,1032
2797,0462
2800,1032
2801,1045
2802,0640
2805,2024
2806,1045
2809,1331
2810,0462
2811,1119
2812,1032
2817,1032
2822,1310
2824,0252
2827,1331
2832,1331
2833,2123
2834,1533
2836,1045
2837,1250
2838,1014
2839,1032
2840,1045
2841,1032
2842,2272
2844,1331
2845,0879
2847,0241
2849,0222
2850,1045
2851,1043
2852,0442
2857,0953
2858,1331
2859,1032
2860,1332
2861,2020
2865,1583
2866,0462
2867,0651
2869,0252
2874,1032
2875,1331
2876,1331
2878,2272
2880,0228
2883,0432
2884,0462
2885,1540
2888,1331
2889,1310
2890,1032
2891,0462
2892,1331
2895,0677
2899,0462
2900,1032
2903,2272
2905,1331
2906,1032
2908,1331
2911,1222
2914,1032
2915,0460
2916,0462
2918,0241
2920,1331
2921,1331
2922,0854
2924,1032
2927,1931
2929,1331
2930,1045
2931,1121
2932,1045
2937,1032
2938,0663
2940,1332
2941,1045
2942,1045
2943,1332
2944,1219
2947,0721
2949,0156
2954,1310
2957,0870
2958,1045
2959,0252
2960,1032
2961,1331
2962,2410
2964,1332
2965,1332
2966,1331
2969,1045
2970,1331
2971,0462
2972,1032
2973,0252
2974,1045
2975,1331
2976,1045
2978,1320
2980,1331
2986,0226
2988,1043
2992,0252
2996,0462
2998,0453
2999,0854
3000,0452
3001,0224
3003,1250
3005,1540
3006,1032
3012,1132
3013,1970
3015,1044
3016,1970
3017,1045
3018,1045
3019,1113
3020,2410
3021,1045
3022,1970
3023,1114
3024,1722
3025,1661
3026,1331
3027,1970
3030,1045
3035,2241
3036,0959
3038,0854
3039,1970
3043,0252
3044,1032
3046,1331
3048,0850
3049,0252
3051,1250
3053,1214
3056,1250
3057,0722
3059,0677
3061,1970
3066,0252
3068,1032
3069,1970
3070,1621
3071,1045
3073,1970
3074,1682
3076,1032
3077,1032
3078,0220
3079,1416
3080,1250
3081,1264
3085,0231
3087,1045
3089,0721
3092,0141
3093,0856
3094,2310
3096,1114
3098,1043
3099,1032
3102,1250
3103,1032
3106,1970
3109,0231
3110,2110
3112,0933
3114,0721
3115,1045
3116,2033
3118,0879
3119,1583
3120,1970
3121,0532
3122,0640
3124,1831
3126,1045
3127,0252
3128,1970
3129,0252
3130,1970
3132,1583
3133,1250
3136,1044
3138,0462
3139,1032
3141,1043
3147,1331
3150,2121
3151,1583
3153,1264
3155,1970
3161,1310
3162,1939
3163,1970
3165,1032
3167,1810
3170,1033
3172,1032
3175,0677
3178,1490
3179,1014
3180,1900
3181,1032
3183,2340
3185,1045
3187,2410
3188,1331
3189,0252
3192,1121
3193,1264
3195,1970
3196,1921
3200,1970
3201,1264
3204,1045
3205,1970
3206,1045
3209,0678
3210,0677
3213,1970
3214,1970
3215,1045
3218,1232
3219,0220
3221,1332
3225,1132
3226,1720
3231,1331
3232,1331
3233,0930
3235,1032
3236,1840
3238,0221
3240,1045
3241,1043
3243,1583
3245,1970
3246,0221
3247,1112
3248,0252
3253,0232
3255,1233
3258,1032
3260,1583
3261,0315
3262,1032
3263,1331
3264,1331
3266,1581
3269,1331
3270,1490
3271,1032
3273,1032
3274,0659
3279,1219
3285,1045
3288,1469
3289,0855
3292,1331
3293,0252
3295,1490
3300,1032
3302,1032
3307,0453
3308,1045
3309,1583
3310,0677
3311,0721
3314,1045
3316,1970
3319,0252
3320,1970
3323,0152
3324,1032
3325,1032
3327,1970
3328,0640
3330,1931
3331,1045
3332,1331
3333,1331
3334,0220
3337,0640
3343,1583
3344,1032
3345,0663
3346,1970
3347,1331
3348,1469
3350,1250
3351,1970
3353,0815
3354,1045
3355,1331
3358,2251
3359,0242
3360,2028
3363,1114
3366,1583
3369,1222
3370,1970
3371,1045
3374,0453
3376,2129
3378,1250
3384,1250
3386,2125
3388,1331
3389,1970
3390,1970
3391,0677
3392,1970
3393,0421
3395,0220
3396,0321
3398,1911
3399,1970
3400,0677
3401,1045
3405,2323
3407,1970
3409,0220
3410,1215
3415,1583
3419,1332
3420,1581
3422,0221
3423,1662
3425,1250
3431,1014
3433,0847
3434,0856
3438,0220
3440,0241
3441,1045
3443,0640
3444,0854
3445,1332
3447,0461
3449,0228
3450,1032
3451,1970
3453,1043
3456,1112
3458,2026
3460,2410
3461,1014
3467,0251
3468,2222
3469,0231
3470,1581
3474,1970
3478,1114
3479,1132
3480,1411
3481,1331
3484,1331
3485,0851
3487,1219
3488,0232
3491,1331
3494,1250
3496,1582
3498,1264
3499,1331
3500,1219
3502,1331
3503,1331
3504,1970
3507,1332
3508,1264
3511,1970
3514,1970
3515,0221
3517,0232
3518,1313
3519,1723
3520,0252
3525,1119
3526,1581
3527,1332
3530,1970
3531,1014
3532,1331
3533,0220
3535,2121
3536,1319
3543,0252
3544,1870
3547,1331
3551,1939
3553,1032
3554,0251
3556,0875
3557,1032
3559,0942
3563,0677
3565,0651
3566,1970
3568,1031
3571,1032
3574,0640
3577,0232
3578,1032
3579,0241
3580,0232
3581,0854
3587,1490
3588,1331
3590,1332
3593,1112
3594,0251
3595,1970
3597,1650
3598,1970
3599,1331
3601,1032
3602,0959
3604,2271
3605,1650
3607,0677
3609,2241
3614,1469
3617,0242
3618,0959
3619,1331
3622,1581
3623,1970
3626,1581
3627,1331
3629,1540
3632,0220
3633,1214
3634,2027
3635,1331
3636,1114
3637,1250
3639,1032
3645,0252
3646,1970
3648,0959
3653,1331
3655,1970
3656,1119
3657,1132
3658,1970
3660,0220
3662,1331
3664,0846
3665,1970
3666,2272
3667,0232
3671,0952
3672,1970
3674,0220
3676,0442
3677,1264
3678,1970
3683,1044
3684,1583
3685,1032
3687,0252
3688,1970
3689,1213
3690,0232
3695,0221
3697,0220
3699,1034
3700,1264
3703,0220
3707,1331
3708,1623
3709,1031
3711,1661
3712,2271
3714,1250
3715,1529
3717,1970
3721,0242
3722,1132
3723,0241
3725,1970
3728,2329
3732,1970
3736,1331
3737,0671
3740,1331
3746,1970
3747,1250
3748,1112
3750,1331
3752,2410
3753,1032
3754,1970
3755,1331
3756,0952
3758,0232
3763,1970
3765,1331
3766,0959
3768,1970
3769,1222
3770,0911
3771,0241
3772,1331
3777,0677
3779,0241
3780,0252
3781,1320
3782,1581
3784,0232
3787,0959
3793,1970
3795,0712
3796,0232
3797,1114
3798,2272
3807,1313
3808,2271
3809,1032
3811,1331
3812,0854
3817,1045
3822,1014
3827,1119
3828,1970
3830,1045
3832,1724
3833,1043
3834,1970
3835,1045
3839,1045
3840,1331
3842,2272
3844,1970
3845,0220
3847,1032
3848,1970
3849,1032
3850,1250
3852,1970
3853,0453
3854,1970
3855,1269
3856,0663
3857,2410
3859,1132
3860,1970
3863,1264
3864,1961
3866,1250
3867,1970
3872,0220
3874,1250
3875,0242
3876,0228
3879,1044
3881,1310
3882,0221
3884,1460
3885,0661
3888,1970
3889,1219
3892,0252
3893,0232
3895,1920
3896,1333
3897,1250
3899,1970
3900,1114
3901,1032
3902,0220
3903,1045
3904,1970
3906,1583
3907,1320
3908,1114
3909,2410
3910,1045
3911,1032
3913,1970
3917,0855
3919,2024
3920,0220
3921,1032
3922,0851
3923,1031
3925,1250
3926,1331
3927,1331
3929,1970
3931,1970
3937,1582
3939,0252
3941,0453
3942,1331
3944,1962
3945,1970
3946,0640
3948,1970
3949,0220
3950,0252
3951,0252
3952,1014
3954,1521
3955,0141
3956,1970
3957,1043
3958,1970
3959,1045
3960,1539
3962,1264
3963,1032
3964,0221
3968,1682
3969,0232
3971,1331
3973,0252
3974,0952
